생산자,설명
도멘 제로므 쉐죠Domaine Jerome Chezeaux,도멘 제로므 쉐죠(Domaine Jerome Chezeaux)는 1993년 Bernard의 아들인 Jerome이 가업을 물려 받아 부친으로부터 전수 받은 전통 와인 스타일과 양조기법을 계승했다. Nuits Saint Georges 에 인접한 Premeaux Prissey(쁘리모 쁘리쎄)에 위치하며 12 헥타르의 포도밭을 소유하고 있다.
도멘 쟝 마크 & 토마스 보울리Domaine Jean Marc & Thomas Bouley,
도멘 쟝 마크 브와이요Domaine Jean Marc Boillot,
체사리Cesari,"체사리 (Cesari) 는 제라르도 체사리(Gerardo Cesari)에 의해 1936년 설립 되었다. 그는 전통을 살린 혼이 담긴 와인을 창조한 인물로 초창기인 1940년대에 이미 이태리 전역에서 성공적을 거두면서 베네토의 핵심 생산자로 자리하게 되었고, 오늘날까지도 그의 열정과 기질은 체사리의 모든 와인을 통해 표현되고 있다."
도멘 파비앙 코쉬Domaine Fabien Coche,
앙드레 페레Andre Perret,"앙드레 페레(Andre Perret)의 역사를 거슬러 올라가보면, 로마제국 시절 포도의 과잉생산으로 인해 이 지역 해당 포도밭이 포함된 갈리아 지역내 포도밭 절반을 제거해야 한다고 결정했을 때 당시 프로버스 황제는 론 계곡이 내려다 보이는 특별한 언덕을 보존해야 한다고 말했으며, 이후 이 지역에서 꽁드리외 와인이 탄생할 수 있었다."
도멘 산타 듀Domaine Santa Due,
아소르스 와인 컴퍼니Azores Wine Company,"포르투갈 최대 와인산지 중 하나인 알렌테주(Alentejo) 지역의 명망있는 오너/와인메이커 *ANTONIO MAÇANITA는 포르투갈령 아소르스 제도가 가진 특별한 테루아에 오랫동안 주목해 왔으며, 2014년 Filipe Rocha와 Insula Vinus, Lda.를 파트너로 하여 아소르스 와인 컴퍼니를 설립하였다."
도멘 카스텔누Domaine Castelnau,
지아코모 콘테르노Giacomo Conterno,지아코모 콘테르노(Giacomo Conterno)는 현존하는 최고의 바롤로(Barolo)메이커로 알려진 로베르토 꼰떼르노를 포함한다.
네르비Nervi,
프리츠 하그Fritz Haag,"프리츠 하그 (Weingut Fritz Haag) 는 오랜 역사를 자랑하는 와이너리로 모젤 고원의 중심부에 위치해 있다. 남아 있는 가장 오래된 문서에는 이 양조장이 1605년 두제몬트라는 마을에 있다고 적혀 있는데, 1925년에 이 마을의 이름은 브라우네베르거로 바뀌었다."
오꼬노미하트 레브홀츠Okonomierat Rebholz,
파울로 콘테르노Paolo Conterno,
코센티노Cosentino,코센티노(Cosentino)는 1980년 미치 코센티노에 의해 설립된 와이너리로 나파밸리에서 최초의 메리티지(보르도 블렌딩) 와인을 만든 장본인이다.
루디 피슬러Rudi Pichler,
라 메리디아나La Meridiana,
나이아Naia,
보데가스 마노 아 마노Bodegas Mano A Mano,"보데가스 마노 아 마노(Bodegas Mano A Mano)는 Ciudad Real 지방의 Alhambra의 소도시에 위치하는 데, 스페인 포도밭 절반의 중심을 차지하는 Castile-La Mancha와 같은 자치구처럼 와이너리에 집중적인 투자를 진행하고 있다. 5,000㎡ 이상의 큰 건물들이 300ha의 Tempranillo 포도밭으로 둘러싸여 있다."
