와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,등급,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,스타일,양조,숙성
"프리스트 랜치, 쁘띠 시라","Priest Ranch, Petite Sirah",https://www.wine21.com/13_search/wine_view.html?Idx=164240&lq=LIST,프리스트 랜치 와이너리   Priest Ranch Winery,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),쁘띠 쉬라 (Petit Syrah) 100%,Napa Valley AVA,15.4 %,16~18 ℃,"양고기를 이용한 라구, 훈제 바베큐 등과 잘 어울린다.",*2013 빈티지: Robert Parker 90점,와인투유코리아,1/5,3/5,4/5,4/5,"블루베리, 허브",양고기,,,
"하이드 드 빌렌, 코만단테 샤도네이","Hyde de Villaine, Comandante Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=164242&lq=LIST,하이드빌렌와인  Hyde de Villaine,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),샤르도네 (Chardonnay) 100%,Napa Valley AVA,,10~12 ℃,"버터 관자구이, 랍스터 구이, 버섯 리조또 등과 잘 어울린다.",*2015 빈티지: James Suckling 97점*2016 빈티지: James Suckling 97점,씨에스알와인,1/5,4/5,5/5,1/5,"복숭아, 꽃, 미네랄, 허브","랍스터, 리조또, 버섯",Californian Chardonnay,,
"라 시레나, 르 바레타지","La Sirena, Le Barrettage",https://www.wine21.com/13_search/wine_view.html?Idx=164243&lq=LIST,라 시레나  La Sirena Wines,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),시라/쉬라즈 (Syrah/Shiraz) 95.5% / 그르나슈 (Grenache) 4% / 쁘띠 시라  (Petite Sirah) 0.5%,Napa Valley AVA,14.8 %,15~17 ℃,"스테이크, 양갈비, 그릴요리, 불고기, 훈제오리, 바비큐, 갈비찜, 햄버거, 파스타, 한국음식 등과 잘 어울린다.",*2010 빈티지: Vinous 93점*연간 생산량 200케이스,롯데칠성음료,1/5,3/5,5/5,4/5,오크,"양갈비, 훈제오리",,,
"찰스 & 찰스, 리슬링","Charles & Charles, Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=164244&lq=LIST,찰스 앤 찰스  Charles & Charles,미국(U.S.A) / 워싱턴(Washington State),리슬링 (Riesling) 100%,,12~13 %,8~10 ℃,가벼운 소스의 음식과 잘 어울린다.,*2016 빈티지: Wine Spectator 88점,동원와인플러스,1/5,3/5,3/5,1/5,"꽃, 미네랄",,Washington State Riesling,,
"찰스 & 찰스, 로제","Charles & Charles, Rose",https://www.wine21.com/13_search/wine_view.html?Idx=164245&lq=LIST,찰스 앤 찰스  Charles & Charles,미국(U.S.A) / 워싱턴(Washington State),시라/쉬라즈 (Syrah/Shiraz) 60% / 그르나슈 (Grenache) 17% / 무르베드르 (Mourvedre) 10% / 카베르네 소비뇽 (Cabernet Sauvignon) 10% / 쌩쏘 (Cinsault) 2% / 쿠누아즈 (Counoise) 1%,,12~13 %,8~10 ℃,가벼운 소스의 음식과 잘 어울린다.,"*The Best Selling Washington State Rose*2017 빈티지: Wine Spectator 88점*2016 빈티지: Wine Enthusiast 89점 Best Buy*2015 빈티지: Wine Enthusiast 89점 Best Buy*2014 빈티지: Wine Spectator 89점 2015 TOP 100 Value*2013 빈티지: Wine Enthusiast 90점 Best Buy*2012 빈티지: Wine & Spirits 88점 TOP Value Wine of the Year, Wine Spectator 88점 Best Value*2011 빈티지: Wine Spectator 90점 Best Value & 2012 TOP 100 #42*2008 빈티지: Wine Spectator 90점",동원와인플러스,1/5,3/5,3/5,1/5,허브,,,,
"파워스, 샤도네이","Powers, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=164246&lq=LIST,파워스 와이너리   Powers Winery,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),샤르도네 (Chardonnay),Columbia Valley AVA,13~14 %,10~12 ℃,"참치, 연어, 생선회, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 탕수육, 피자, 파스타 등과 잘 어울린다.",,비니더스코리아,1/5,4/5,2/5,1/5,"배, 시트러스, 감귤, 레몬, 열대과일, 파인애플, 바나나, 미네랄","연어, 참치, 해산물, 새우, 수육, 피자, 탕수육, 아시아요리, 치즈",,PDM 효모 사용. 스테인리스 스틸 발효.,
"파워스, 말벡","Powers, Malbec",https://www.wine21.com/13_search/wine_view.html?Idx=164247&lq=LIST,파워스 와이너리   Powers Winery,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),말벡 (Malbec) / 시라/쉬라즈 (Syrah/Shiraz),Columbia Valley AVA,14~15 %,15~17 ℃,"양갈비, 양꼬치, 스테이크, 갈비, 불고기, 한국음식, 중국요리와 잘 어울린다.",,비니더스코리아,1/5,4/5,4/5,4/5,"블랙커런트, 블랙베리, 체리, 라스베리, 자두, 석류, 제비꽃, 미네랄, 민트, 세이지, 연기","소고기, 스테이크, 돼지고기, 양고기, 건육, 훈제오리, 불고기, 족발, 순대, 중국요리, 버섯, 견과류, 치즈",,스테인리스 스틸 발효. 59갤런의 중성 프렌치 오크통에서 100% 말로락틱 발효. PDM 효모 사용.,"뉴 프렌치 오크통과 2년산, 3년산 프렌치 오크통에서 16개월 동안 숙성."
"파워스, 리저브 카베르네 소비뇽 코요테 빈야드","Powers, Reserve Cabernet Sauvignon Coyote Vineyard",https://www.wine21.com/13_search/wine_view.html?Idx=164248&lq=LIST,파워스 와이너리   Powers Winery,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley) / 왈루크 슬로프(Wahluke Slope),카베르네 소비뇽 (Cabernet Sauvignon),Wahluke Slope AVA,,15~17 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,비니더스코리아,1/5,4/5,4/5,4/5,,"양갈비, 치즈",,,
"파워스, 피노 누아","Powers, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=164250&lq=LIST,파워스 와이너리   Powers Winery,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),피노 누아 (Pinot Noir) 100%,Columbia Valley AVA,13~14 %,13~15 ℃,,,비니더스코리아,1/5,4/5,3/5,3/5,"블랙베리, 체리, 말린과일, 라일락, 정향, 카라멜, 삼나무","로스트비프, 소고기, 양갈비, 오리고기, 훈제오리, 불고기, 한식, 파스타, 햄버거, 중국요리, 버섯, 치즈",,PDM 효모 사용. 스테인리스 스틸 발효.,2년에서 3년 정도 사용한 프렌치 오크에서 18개월 에이징 후 병입.
"포데레 29, 우니오","Podere 29, Unio",https://www.wine21.com/13_search/wine_view.html?Idx=164251&lq=LIST,포데레 29  Podere 29,이탈리아(Italy) / 뿔리아(Puglia),네로 디 트로이아  (Nero di Troia) / 프리미티보 (Primitivo),Puglia IGT(IGP),13~14 %,16~18 ℃,대부분의 그릴류 요리들과 잘 어울린다.,,,1/5,3/5,5/5,3/5,"잼, 피망, 후추, 오크",,Southern Italy Red,각 품종별 스테인리스 스틸 발효조에서 2개월 간 발효,프랑스 오크통에서 4개월간 숙성
