와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,등급,양조,숙성,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,스타일,알코올,기타정보
"보데가스 셀라야, 에라두라 아이렌","Bodegas Celaya, Herradura Airen",https://www.wine21.com/13_search/wine_view.html?Idx=171857&lq=LIST,보데가스 셀라야  Bodeges Celaya,스페인(Spain) / 라 만차(La Mancha),아이렌 (Airen) 100%,La Mancha DO(DOP),포도송이를 통째로 압축하는 방식,스테인리스 탱크 숙성,8~10 ℃,"샐러드, 피자, 해산물, 구운 생선 등과 잘 어울린다.",비노테크,1/5,4/5,2/5,1/5,꽃,"해산물, 피자, 샐러드",,,
"도멘 보나르도, 부르고뉴 오뜨 꼬뜨 드 뉘 '쿠드  프더'","Domaine Bonnardot, Bourgogne Haute-Cotes de Nuits 'Coup De Foudre'",https://www.wine21.com/13_search/wine_view.html?Idx=171858&lq=LIST,도멘 보나르도  Domaine Bonnardot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 부르고뉴 오뜨 꼬뜨 드 뉘(Bourgogne Hautes Côtes de Nuits),피노 누아 (Pinot Noir),,,배럴에서 침용을 거쳐 큰 통에서 6~8개월간 숙성,14~16 ℃,"구은 육류, 생선요리, 매콤한 커리와 잘 어울린다.",호메오와인갤러리,1/5,3/5,3/5,2/5,꽃,,Burgundy Côte de Nuits Red,,
"보데가스 셀라야, 에라두라 카베르네 소비뇽","Bodegas Celaya, Herradura Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=171859&lq=LIST,보데가스 셀라야  Bodeges Celaya,스페인(Spain) / 라 만차(La Mancha),카베르네 소비뇽 (Cabernet Sauvignon) 100%,La Mancha DO(DOP),포도송이를 통째로 압축하는 방식,스테인리스 탱크 숙성,16~18 ℃,"치즈, 구운 야채를 곁들인 바비큐, 소세지 등과 잘 어울린다.",비노테크,1/5,3/5,4/5,4/5,"블랙베리, 피망, 바닐라, 민트","바비큐, 야채, 치즈",,,
"보데가스 셀라야, 에라두라 템프라니요 엘레강스","Bodegas Celaya, Herradura Tempranillo Elegance",https://www.wine21.com/13_search/wine_view.html?Idx=171860&lq=LIST,보데가스 셀라야  Bodeges Celaya,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo) 100%,La Mancha DO(DOP),포도송이를 통째로 압축하는 방식,스테인리스 탱크 숙성,16~18 ℃,"비프스튜, 타파스, 모든 육류, 하몽 , 양꼬치 등과 잘 어울린다.",비노테크,1/5,3/5,4/5,3/5,"초콜릿, 가죽","양꼬치, 하몽",,,
"슈그, 샤도네이 소노마 코스트","Schug, Chardonnay Sonoma Coast",https://www.wine21.com/13_search/wine_view.html?Idx=171861&lq=LIST,슈그 와이너리  Schug Winery,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),샤르도네 (Chardonnay) 100%,Sonoma Coast AVA,,,8~10 ℃,"고다치즈, 버섯피자, 치킨크림스프, 흰살 생선, 관자구이 등과 잘 어울린다.",비노테크,1/5,4/5,4/5,1/5,"파인애플, 미네랄, 바닐라","치킨, 피자, 버섯",,,
"슈그, 샤도네이 이스테이트","Schug, Chardonnay Estate",https://www.wine21.com/13_search/wine_view.html?Idx=171862&lq=LIST,슈그 와이너리  Schug Winery,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 로스 카네로스(Los Carneros),샤르도네 (Chardonnay) 100%,Los Carneros AVA,,,8~10 ℃,"가리비찜, 클램 차우더 스프, 치킨 로스트, 까르보나라 파스타 등과 잘 어울린다.",비노테크,1/5,3/5,3/5,1/5,"바닐라, 토스트, 버터","치킨, 파스타",Napa Valley Chardonnay,,
"비냐 아퀴타니야, 샤르도네","Vina Aquitania, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=171863&lq=LIST,비냐 아퀴타니아  Vina Aquitania,칠레(Chile) / 마이포 밸리(Maipo Valley),샤르도네 (Chardonnay),Maipo Valley DO,,,8~10 ℃,"리코타 샐러드, 흰 살 생선 요리, 해산물 파스타, 감바스 등과 잘 어울린다.",비노테크,1/5,4/5,3/5,1/5,오크,"해산물, 파스타, 샐러드, 리코타",,,
"지게티, 그뤼너 벨트리너 젝트","Szigeti, Gruner Veltliner Sekt",https://www.wine21.com/13_search/wine_view.html?Idx=171864&lq=LIST,지게티  Szigeti,오스트리아(Austria) / 부르겐란트(Burgenland),그뤼너 벨트리너 (Gruner Veltliner) 100%,,손으로 수확,"스테인리스 스틸탱크에서 샴페인 효모와 함께 1차 발효 진행 및 12개월 숙성, 티라쥬를 먼저 진행",6~8 ℃,"생선, 갑각류, 굴, 스시, 구운 새우, 프라이드 치킨 등과 잘 어울린다.",비노테크,1/5,4/5,3/5,1/5,미네랄,"치킨, 스시, 새우",Austrian Grüner Veltliner,,
"지게티, 블랑 드 블랑 브륏","Szigeti, Blanc de Blancs Brut",https://www.wine21.com/13_search/wine_view.html?Idx=171865&lq=LIST,지게티  Szigeti,오스트리아(Austria) / 부르겐란트(Burgenland),샤르도네 (Chardonnay) 100%,,손으로 수확,"스테인리스 스틸탱크에서 샴페인 효모와 함께 1차 발효 진행 및 12개월 숙성, 티라쥬를 먼저 진행",6~8 ℃,"생선, 갑각류, 굴, 스시, 그릴 새우 , 치킨 등과 잘 어울린다.",비노테크,1/5,3/5,3/5,1/5,"시트러스, 멜론","치킨, 스시, 새우",,,
"지게티, 프리잔테 로제","Szigeti, Frizzante Rose",https://www.wine21.com/13_search/wine_view.html?Idx=171866&lq=LIST,지게티  Szigeti,오스트리아(Austria) / 부르겐란트(Burgenland),피노 누아 (Pinot Noir) 100%,,손으로 수확,"스테인리스 스틸탱크에서 샴페인 효모와 함께 1차 발효 진행 및 12개월 숙성, 티라쥬를 먼저 진행",8~10 ℃,"생선, 갑각류, 굴, 스시, 구운 새우, 프라이드 치킨 등과 잘 어울린다.",비노테크,1/5,4/5,3/5,1/5,"딸기, 사과","치킨, 스시, 새우",,,
