와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,알코올,음용온도,기타정보,당도,산도,바디,타닌,아로마,음식매칭,양조,숙성,수입사,등급,추천음식
"아일랜더 에스테이트, 더 레드","Islander Estate, The Red",https://www.wine21.com/13_search/wine_view.html?Idx=176001&lq=LIST,아일랜더 에스테이트  Islander Estate,호주(Australia) / 사우스 오스트레일리아(South Australia) / 캥거루 아일랜드(Kangaroo Island),시라/쉬라즈 (Syrah/Shiraz),Australian Shiraz,14~15 %,16~18 ℃,* Halliday Australian Wine Companion - 94pts,1/5,3/5,3/5,3/5,"체리, 라스베리, 후추, 바닐라, 유칼립투스, 오크","미트, 살치살, 소고기, 스테이크, 바비큐, 항정살, 돼지고기, 양꼬치, 양갈비, 양고기, 불고기, 육포, 양념갈비, 갈비찜, 족발, 서양요리, 에뿌아쓰, 로크포르, 블루치즈, 스모크",,,,,
"아일랜더 에스테이트, 소비뇽 블랑","Islander Estate, Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=176002&lq=LIST,아일랜더 에스테이트  Islander Estate,호주(Australia) / 사우스 오스트레일리아(South Australia) / 캥거루 아일랜드(Kangaroo Island),소비뇽 블랑 (Sauvignon Blanc),Australian Sauvignon Blanc,12~13 %,6~8 ℃,,1/5,4/5,3/5,1/5,"레몬껍질, 레몬, 패션프루트, 허브","광어, 초밥, 생선회, 사시미, 소라, 전복, 전복, 생굴, 어묵, 볶음밥, 튀김, 리코타, 크림치즈, 모짜렐라","The grapes are sorted,immediately pressed, transferred to stainless steel tanks for cold settling &low-temperature fermentation",,,,
"아일랜더 에스테이트, 템프라니요","Islander Estate, Tempranillo",https://www.wine21.com/13_search/wine_view.html?Idx=176003&lq=LIST,아일랜더 에스테이트  Islander Estate,호주(Australia) / 사우스 오스트레일리아(South Australia) / 캥거루 아일랜드(Kangaroo Island),템프라니요 (Tempranillo),,14~15 %,16~18 ℃,,1/5,3/5,4/5,3/5,"블랙커런트, 블랙체리, 블랙베리, 블루베리, 자두, 후추, 바닐라, 감초, 타바코, 모카, 오크","등심, 소고기, 스테이크, 항정살, 돼지고기, 양갈비, 양고기, 양념갈비, 갈비찜, 족발, 서양요리, 자두, 에뿌아쓰, 로크포르, 블루치즈, 스모크",The grapes are hand-picked & destemmed with20% of stems added to concrete tank fermenters,The must spends 6 weeks on skins during alcohol & malolactic ferments before pressing & ageing in seasoned French oak demi-muids.,,,
"아일랜더 에스테이트, 더 시그넷","Islander Estate, The Cygnet",https://www.wine21.com/13_search/wine_view.html?Idx=176004&lq=LIST,아일랜더 에스테이트  Islander Estate,호주(Australia) / 사우스 오스트레일리아(South Australia) / 캥거루 아일랜드(Kangaroo Island),시라/쉬라즈 (Syrah/Shiraz),Australian Shiraz,14~15 %,16~18 ℃,,1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 감초, 아니스, 허브, 삼나무","그릴요리, 살치살, 스테이크, 바비큐, 항정살, 오겹살, 양갈비, 양고기, 양념갈비, 갈비찜, 족발, 서양요리, 중국요리, 에뿌아쓰, 로크포르, 블루치즈, 스모크","Hand-picked, extended maceration on skins until malolacticfermentation is completed","The juice is then run off and the skins pressed in a hand-operated basketpress, blended after 2 years in French oak demi-muids then bottle aged for a further 2 years before release.",,,
"토마스 조지, 선즈 앤 도터스 샤도네이","Thomas George, Sons and Daughters Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=176005&lq=LIST,토마스 조지  Thomas George,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),샤르도네 (Chardonnay),Californian Chardonnay,13~14 %,10~12 ℃,,1/5,3/5,3/5,1/5,"살구, 시트러스, 라임, 말린살구, 석유","스시, 생선회, 사시미, 생선 까르파치오, 해산물, 게살, 만두, 햄버거, 중국요리, 아시아요리, 치즈, 리코타, 모짜렐라",,,씨에스알와인,,
"토마스 조지, 크레스타 릿지 샤도네이","Thomas George, Cresta Ridge Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=176006&lq=LIST,토마스 조지  Thomas George,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),샤르도네 (Chardonnay),Californian Chardonnay,14~15 %,10~12 ℃,,1/5,3/5,3/5,1/5,"복숭아, 서양배, 사과, 파인애플, 바나나, 부싯돌","돼지고기, 건육, 닭고기, 오리로스, 연어, 참치, 장어, 해산물, 문어숙회, 동그랑땡, 한국음식, 편육, 만두, 오일파스타, 햄버거, 중국요리, 탕수육, 체다, 고다, 브리, 모짜렐라",,,씨에스알와인,,
"토마스 조지, 베이커 릿지 피노 누아","Thomas George, Baker Ridge Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=176007&lq=LIST,토마스 조지  Thomas George,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),피노 누아 (Pinot Noir),Californian Pinot Noir,14~15 %,14~16 ℃,,1/5,3/5,3/5,2/5,"딸기, 라스베리, 석류, 붉은꽃, 후추, 바닐라, 홍차","까르파치오, 돼지고기, 건육, 오리고기, 훈제오리, 찜닭, 닭고기, 불고기, 족발, 한식, 편육, 오일파스타, 크림파스타, 햄버거, 치즈, 파르미지아노, 체다, 고다, 브리, 그라노파다노",,,씨에스알와인,,
"토마스 조지, 크레스타 릿지 피노 누아","Thomas George, Cresta Ridge Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=176008&lq=LIST,토마스 조지  Thomas George,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),피노 누아 (Pinot Noir),Californian Pinot Noir,14~15 %,14~16 ℃,,1/5,3/5,3/5,2/5,"딸기, 라스베리, 라일락, 꽃, 홍차, 민트, 가죽, 흙","로스트비프, 까르파치오, 소고기, 건육, 살라미, 훈제오리, 찜닭, 연어, 참치, 해산물, 게살, 바닷가재, 킹크랩, 불고기, 족발, 편육, 피자, 중국음식",,,씨에스알와인,,
"블루팜, 라세로니 빈야드 샤도네이","Blue Farm, Laceroni Vineyard Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=176009&lq=LIST,블루팜  Blue Farm,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),샤르도네 (Chardonnay),Californian Chardonnay,14~15 %,10~12 ℃,,1/5,3/5,3/5,1/5,"서양배, 레몬, 페이스트리, 헤이즐넛","돼지고기, 닭고기, 오리로스, 치킨, 연어, 만두, 햄버거, 서양요리, 피자, 중국요리, 샐러드",,,씨에스알와인,,
"블루팜, 안나 캐서리나 피노 누아","Blue Farm, Anne Katherina Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=176010&lq=LIST,블루팜  Blue Farm,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 로스 카네로스(Los Carneros),피노 누아 (Pinot Noir),Californian Pinot Noir,14~15 %,14~16 ℃,,1/5,3/5,3/5,2/5,"블랙체리, 블루베리, 석류, 육두구, 정향, 젖은흙, 젖은낙엽","건육, 훈제오리, 찜닭, 닭고기, 오리로스, 치킨, 불고기, 한식, 편육, 수육, 오일파스타, 햄버거, 피자, 아시아요리, 버섯, 송이버섯, 치즈, 파르미지아노, 브리, 그라노파다노, 콩테",,,씨에스알와인,,
"블루팜, 소노마 코스트 피노 누아","Blue Farm, Sonoma Coast Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=176011&lq=LIST,블루팜  Blue Farm,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),피노 누아 (Pinot Noir),Californian Pinot Noir,14~15 %,14~16 ℃,,1/5,3/5,3/5,2/5,"체리, 블루베리, 라스베리, 우롱차, 헤이즐넛, 카라멜","로스트비프, 스테이크, 건육, 훈제오리, 닭고기, 오리로스, 참치, 해산물, 불고기, 편육, 수육, 햄버거, 서양요리, 피자, 견과류, 치즈, 파르미지아노, 고다, 브리, 그라노파다노, 콩테",,,씨에스알와인,,
"블루팜, 갭스 크라운 피노 누아","Blue Farm, Gap's Crown Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=176012&lq=LIST,블루팜  Blue Farm,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),피노 누아 (Pinot Noir),Californian Pinot Noir,14~15 %,14~16 ℃,,1/5,3/5,3/5,2/5,"레드커런트, 라스베리, 자두, 정향, 시나몬, 삼나무, 오크","송아지, 로스트비프, 소고기, 건육, 찜닭, 불고기, 한식, 편육, 수육, 파스타, 서양요리, 리조또, 자두, 치즈, 파르미지아노, 고다, 그라노파다노, 페타",,,씨에스알와인,,
"아틀라스, 429 클레어 밸리 쉬라즈","Atlas, 429 Clare Valley Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=176013&lq=LIST,아틀라스  Atlas,호주(Australia) / 사우스 오스트레일리아(South Australia) / 클레어 밸리(Clare Valley),시라/쉬라즈 (Syrah/Shiraz),Australian Shiraz,14~15 %,16~18 ℃,,1/5,3/5,4/5,4/5,"블랙베리, 자두, 제비꽃, 바닐라, 아니스, 모카, 다크초콜릿","스튜, 양고기, 건육, 갈비찜, 자두, 견과류, 치즈",,,,,
