와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,양조,숙성,알코올,음용온도,기타정보,당도,산도,바디,타닌,아로마,음식매칭,추천음식,수입사,스타일,등급
"세인트 존스 와인, 소비뇽 블랑","St Johns Wine, Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=178063&lq=LIST,세인트 존스 와인  St. Johns Wine [B2B],호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 마가렛 리버(Margaret River),소비뇽 블랑 (Sauvignon Blanc),소비뇽 블랑은 밤에 기계 수확되어 양조장으로 들어가 대형 스테인리스 탱크에서 압착 후 발효,"스테인리스에서 숙성되었으며, 소량의 세미용과 베르멘티노와 블렌딩",13~14 %,8~10 ℃,*94 points Sam Kim Wine Orbit 5 star,1/5,4/5,2/5,1/5,"배, 사과, 시트러스, 꽃, 미네랄","생선회, 해산물, 아시아요리, 튀김, 식전주, 샐러드",,,,
"브리스데일, 아들레이드 힐스 소비뇽 블랑","Bleasdale, Adelaide Hills Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=178064&lq=LIST,브리스데일  Bleasdale,호주(Australia) / 사우스 오스트레일리아(South Australia) / 애들레이드 힐즈(Adelaide Hills),소비뇽 블랑 (Sauvignon Blanc),"수확 후, 으깨고 냉각한 포도는 프레스 과정에서 3~4시간 동안 스킨 컨택을 진행하며 풍미를 최대한 추출. 이후 스테인리스 탱크에서 저온 발효를 통해 드라이한 맛을 내고, 10%는 오크에서 발효","병입 전 약간의 리즈(Lee)와 함께 짧게 숙성시켜 신선함을 유지하며, 10%는 프렌치 오크 펀천(새 오크 50%)에서 발효 후 탱크 성분과 블렌딩",11~12 %,8~10 ℃,,1/5,4/5,2/5,1/5,"배, 사과, 시트러스, 꽃, 미네랄","생선회, 해산물, 한식, 튀김, 식전주",,,,
"브리스데일, 제너레이션 말벡","Bleasdale, Generations Malbec",https://www.wine21.com/13_search/wine_view.html?Idx=178065&lq=LIST,브리스데일  Bleasdale,호주(Australia) / 사우스 오스트레일리아(South Australia) / 랭혼 크릭(Langhorne Creek),말벡 (Malbec),"줄기를 제거한 후 약 20%를 홀베리 형태로 오픈 발효조에 넣어 1-2일 동안 발효 전 침용(maceration)을 진행. 발효 온도는 최대 30°C까지 오르며, 하루 최대 4회 펌핑 오버를 실시","이후 탱크에서 발효를 마무리한 후, 24시간 동안 침전시킨 다음 오크로 옮겨 말로락틱 발효(MLF)를 진행. 새로운 프렌치 오크 펀천(10%)과 숙성된 오크 펀천에서 12개월간 숙성",13~14 %,16~18 ℃,"*레드 품종 부문 트로피 및 탑 골드 - National Wine Show of Australia 2024*쇼 최고 와인 챔피언 및 Malbec부문 최우수 트로피, 탑 골드 - Langhorne Creek Wine Show 2024*금상 - Langhorne Creek Wine Show 2024*Top Gold - Royal Adelaide Wine Show 2023*은상 - Sydney Royal Wine Show 2024*은상 - Royal Queensland Wine Awards 2024*은상 - Royal Hobart Wine Show 2023*96 점James Halliday Wine Companion 2025 Edition",1/5,2/5,4/5,4/5,"블랙커런트, 블루베리, 라스베리, 꽃, 허브","송아지, 소고기, 붉은육류, 바비큐, 양고기, 닭고기","붉은소스의 스테이크, 스파게티, 양고기, 송아지요리, 육즙이 풍부한 쇠고기요리등과 함께 하면 좋다.",,,
"토브렉, 스테딩 블랑","Torbreck, Steading Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=178066&lq=LIST,토브렉  Torbreck,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),루산느 (Roussanne) / 마르산느 (Marsanne) / 비오니에 (Viognier),,"마르산과 비오니에는 천연 효모를 활용하여 천천히 발효되었으며, 앙금접촉한 채로 8개월 프렌치 오크배럴에서 숙성",13~14 %,8~10 ℃,,1/5,4/5,3/5,1/5,"백도, 복숭아, 서양배, 시트러스, 열대과일, 미네랄","해산물, 한식, 아시아요리, 튀김, 복숭아",,신동와인,,
"라이밀, 이얼링 쉬라즈","Rymill, Yearling Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=178067&lq=LIST,라이밀 쿠나와라  Rymill Coonawarra [B2B],호주(Australia) / 사우스 오스트레일리아(South Australia) / 쿠나와라(Coonawarra),시라/쉬라즈 (Syrah/Shiraz),7-9일 동안 스킨과 함께 숙성되어 탱크에서 발효.,,14~15 %,16~18 ℃,,1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 블루베리, 자두, 잼, 바닐라, 페이스트리, 커피","소고기, 양고기, 양념갈비, 갈비찜, 한식, 라자냐, 서양요리, 치즈",,,Australian Shiraz,
"라이밀, 이얼링 카베르네 소비뇽","Rymill, Yearling Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=178068&lq=LIST,라이밀 쿠나와라  Rymill Coonawarra [B2B],호주(Australia) / 사우스 오스트레일리아(South Australia) / 쿠나와라(Coonawarra),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 쁘띠 베르도 (Petit Verdot),,,14~15 %,16~18 ℃,,1/5,3/5,3/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 블루베리, 커피, 초콜릿, 오크","소고기, 양고기, 양념갈비, 갈비찜, 족발, 라자냐, 버섯, 치즈",,,Australian Cabernet Sauvignon,
"제이제이 한, 홈스테드 카베르네 소비뇽","JJ Hahn, Homestead Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=178069&lq=LIST,제이제이 한 와인  JJ Hahn Wine Co,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),카베르네 소비뇽 (Cabernet Sauvignon),,,14~15 %,16~18 ℃,*Halliday Wine Companion - 93점,1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 바닐라, 감초, 허브, 삼나무, 오크","소고기, 양고기, 건육, 한식",,루벵코리아 (루뱅쿱),Australian Cabernet Sauvignon,
"라이밀, 파이어니어 로제","Rymill, Pioneer Rose",https://www.wine21.com/13_search/wine_view.html?Idx=178070&lq=LIST,라이밀 쿠나와라  Rymill Coonawarra [B2B],호주(Australia) / 사우스 오스트레일리아(South Australia) / 쿠나와라(Coonawarra),메를로 (Merlot),,,12~13 %,12~14 ℃,,1/5,3/5,2/5,2/5,"딸기, 라스베리, 자몽, 감귤, 허브","바비큐, 건육, 해산물, 오일파스타, 아시아요리, 샐러드, 치즈",,,,
"마주앙, 뫼르소 레 그랑 샤롱","Majuang, Meursault Les Grands Charrons",https://www.wine21.com/13_search/wine_view.html?Idx=178071&lq=LIST,마주앙  Majuang,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay) 100%,,,,10~12 ℃,,1/5,4/5,3/5,1/5,,"사시미, 생선회, 해산물, 한식",,롯데칠성음료,Burgundy Côte de Beaune White,"Meursault AOC(AOP), 'Les Grands Charrons'"
"마주앙, 브루넬로 디 몬탈치노","Majuang, Brunello di Montalcino",https://www.wine21.com/13_search/wine_view.html?Idx=178072&lq=LIST,마주앙  Majuang,이탈리아(Italy) / 토스카나(Toscana) / 몬탈치노(Montalcino),브루넬로 (Brunello) 100%,,,,10~12 ℃,,1/5,4/5,4/5,4/5,,"스테이크, 돼지고기, 양갈비, 한식",,롯데칠성음료,Italian Brunello,Brunello di Montalcino DOCG(DOP)
