와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,양조,숙성,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,알코올
"도멘 데 호슈 네브, 소뮤르 블랑 랭쇼리","Domaine des Roches Neuves, Saumur Blanc L' insolite",https://www.wine21.com/13_search/wine_view.html?Idx=167385&lq=LIST,도멘 데 호슈 네브  Domaine des Roches Neuves,프랑스(France) / 루아르(Loire) / 앙쥬-소뮈르(Anjou-Saumur) / 소뮈르(Saumur),슈냉 블랑 (Chenin Blanc) 100%,Upper Loire White,Saumur AOC(AOP),: 사암과 부싯돌이 석여 잇는 심토가 있는 점토질 석회암에서 자란 약 85 년 된 포도나무에서 자란 포도는 숙성도에 따라 여러 번 수확,4개월 동안 미네랄을 높이기 위해 12hl 타원형 foudre에서 발효되었다. 바토나지를 통하여  12개월 동안 lee에 서 숙성,10~12 ℃,"해산물, 갑각류 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,4/5,2/5,1/5,"오렌지, 미네랄",해산물,,
"도멘 데 호슈 네브, 클로 드 레코타르","Domaine des Roches Neuves, Clos de L'Ecotard",https://www.wine21.com/13_search/wine_view.html?Idx=167386&lq=LIST,도멘 데 호슈 네브  Domaine des Roches Neuves,프랑스(France) / 루아르(Loire) / 앙쥬-소뮈르(Anjou-Saumur) / 소뮈르(Saumur),슈냉 블랑 (Chenin Blanc),,Saumur AOC(AOP),,,10~12 ℃,"파스타, 치즈, 해산물 등과 잘 어울린다.",,1/5,4/5,3/5,1/5,"시트러스, 미네랄","해산물, 파스타, 치즈",,
"도멘 뒤 뻬롱, 세렌 블랑쉬","La Vigne du Perron, Serene Blanche",https://www.wine21.com/13_search/wine_view.html?Idx=167387&lq=LIST,라 비뉴 뒤 뻬롱  La Vigne de Perron,프랑스(France) / 사부아 뷔게이(Savoie-Bugey),알테스 (Altesse),,,,,10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,오크,"샐러드, 치즈",,
"도멘 뒤 뻬롱, 카타리나","La Vigne du Perron, Katapnha",https://www.wine21.com/13_search/wine_view.html?Idx=167388&lq=LIST,라 비뉴 뒤 뻬롱  La Vigne de Perron,프랑스(France) / 사부아 뷔게이(Savoie-Bugey),샤르도네 (Chardonnay),,,,,10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"샐러드, 치즈",,
"도멘 뒤 뻬롱, 에따쁘","La Vigne du Perron, Les Etapes",https://www.wine21.com/13_search/wine_view.html?Idx=167389&lq=LIST,라 비뉴 뒤 뻬롱  La Vigne de Perron,프랑스(France) / 사부아 뷔게이(Savoie-Bugey),피노 누아 (Pinot Noir),,,,,14~16 ℃,"치즈, 파스타 등과 잘 어울린다.",,1/5,4/5,3/5,2/5,오크,"파스타, 치즈",,
"도멘 뒤 뻬롱, 에르미뛰르","La Vigne du Perron, Les Ermitures",https://www.wine21.com/13_search/wine_view.html?Idx=167390&lq=LIST,라 비뉴 뒤 뻬롱  La Vigne de Perron,프랑스(France) / 사부아 뷔게이(Savoie-Bugey),가메이 (Gamay),,,,,14~16 ℃,"파스타, 치즈, 샤퀴테리 등과 잘 어울린다.",,1/5,3/5,3/5,2/5,오크,"파스타, 치즈",,
"도멘 뒤 뻬롱, 뻬르잔","La Vigne du Perron, Persanne",https://www.wine21.com/13_search/wine_view.html?Idx=167391&lq=LIST,라 비뉴 뒤 뻬롱  La Vigne de Perron,프랑스(France) / 사부아 뷔게이(Savoie-Bugey),몽두즈 누아 (Mondeuse Noire),,,,,14~16 ℃,"파스타, 치즈 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,오크,"파스타, 치즈",,
"라 꽁브 오 헤브, 라 플루트 아지떼","Domaine de le Combe aux Reves, La Flute Agitee",https://www.wine21.com/13_search/wine_view.html?Idx=167392&lq=LIST,라 꽁브 오 헤브  Domaine de la Combe aux Reves,프랑스(France) / 사부아 뷔게이(Savoie-Bugey),샤슬라 (Chasselas),,,,,10~12 ℃,"파스타, 치킨, 치즈 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,,"치킨, 파스타, 치즈",,
"라 꽁브 오 헤브, 쟈께흐 당 레 자빔","Domaine de le Combe aux Reves, Jack erre dans les abimes",https://www.wine21.com/13_search/wine_view.html?Idx=167393&lq=LIST,라 꽁브 오 헤브  Domaine de la Combe aux Reves,프랑스(France) / 사부아 뷔게이(Savoie-Bugey),자쿠에레 (Jacquere),,,,,10~12 ℃,"치즈, 해산물 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,,"해산물, 치즈",,
"라 꽁브 오 헤브, 펄","Domaine de le Combe aux Reves, Pearl",https://www.wine21.com/13_search/wine_view.html?Idx=167394&lq=LIST,라 꽁브 오 헤브  Domaine de la Combe aux Reves,프랑스(France) / 사부아 뷔게이(Savoie-Bugey),샤르도네 (Chardonnay),,,,,10~12 ℃,"해산물, 파스타 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"해산물, 파스타",,
"라 꽁브 오 헤브, 에베이 뒬 루","Domaine de le Combe aux Reves, Eveil du loup",https://www.wine21.com/13_search/wine_view.html?Idx=167395&lq=LIST,라 꽁브 오 헤브  Domaine de la Combe aux Reves,프랑스(France) / 사부아 뷔게이(Savoie-Bugey),뿔사르 (Poulsard),,,,,10~12 ℃,"해산물, 치즈, 파스타 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"해산물, 파스타, 치즈",,
"라 꽁브 오 헤브, 떼흐 데 랑구","Domaine de le Combe aux Reves, Terre des Rangoux",https://www.wine21.com/13_search/wine_view.html?Idx=167396&lq=LIST,라 꽁브 오 헤브  Domaine de la Combe aux Reves,프랑스(France) / 사부아 뷔게이(Savoie-Bugey),가메이 (Gamay) / 몽두즈 누아 (Mondeuse Noire),,,,,14~16 ℃,"파스타, 치즈, 오리고기 등과 잘 어울린다.",,1/5,3/5,3/5,2/5,,"오리고기, 파스타, 치즈",,
"로랑 뻬라숑, 모르공 꼬뜨 뒤 삐","Domaine Laurent Perrachon, Morgon Cote du Py",https://www.wine21.com/13_search/wine_view.html?Idx=167397&lq=LIST,도멘 로랑 뻬라숑  Domaine Laurent Perrachon,프랑스(France) / 부르고뉴(Bourgogne) / 보졸레(Beaujolais) / 모르공(Morgon),가메이 (Gamay),,Morgon AOC(AOP),,,14~16 ℃,"파스타, 치즈, 샤퀴테리 등과 잘 어울린다.",,1/5,3/5,3/5,2/5,,"파스타, 치즈",,
