와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,양조,숙성,알코올,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,스타일,등급
"포지오 그라페타, 네로 다볼라","Poggio Graffetta, Nero d'Avola",https://www.wine21.com/13_search/wine_view.html?Idx=174991&lq=LIST,포지오 그라페타  Poggio Graffetta,이탈리아(Italy) / 시칠리아(Sicilia),네로 다볼라 (Nero d'Avola),손 수확(포도나무당 1.2kg). 스테인리스 발효조에서 약 28도의 온도로 발효 후 젖산 발효.,"50%는 500리터 오크통, 50%는 스테인리스 탱크에서 6개월 숙성 후 블렌딩. 병입 후 3개월 병 숙성.",13~14 %,16~18 ℃,"소고기, 스테이크, 양갈비, 그릴요리. 훈제오리, 건육, 프로슈토, 파스타, 햄버거, 동파육 등과 잘 어울린다.",모멘텀와인컴퍼니,1/5,3/5,4/5,3/5,"블랙베리, 체리, 블루베리, 라스베리, 자두, 잼, 후추, 감초, 타바코, 가죽","그릴요리, 소고기, 스테이크, 바비큐, 양갈비, 양고기, 건육, 칠면조, 훈제오리, 갈비찜, 햄버거, 서양요리, 피자, 중국요리, 자두",,,
"포지오 그라페타, 시라","Poggio Graffetta, Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=174992&lq=LIST,포지오 그라페타  Poggio Graffetta,이탈리아(Italy) / 시칠리아(Sicilia),시라/쉬라즈 (Syrah/Shiraz),"손 수확(포도나무당 1.2kg 소량 수확). 스테인리스 발효조에서 약 28도로 발효 후, 젖산 발효.","50%는 오크통, 50%는 스테인리스 탱크에서 6개월 숙성 후 블렌딩. 병입 후 3개월 병 숙성 진행.",13~14 %,16~18 ℃,"소고기, 스테이크, 갈비찜, 양념갈비, 양갈비, 라자냐, 스튜, 크림파스타, 숙성 치즈 등과 잘 어울린다.",모멘텀와인컴퍼니,1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 블루베리, 자두, 제비꽃, 꽃, 미네랄, 육두구, 후추, 정향, 오크","소고기, 스테이크, 양고기, 훈제오리, 양념갈비, 갈비찜, 라자냐, 파스타, 자두, 견과류, 랑그르, 샤우르스, 치즈, 그라노파다노, 테트드무안",* 잔당 - 1.1 g/L* 총산 - 5.66 g/L,,
"포지오 그라페타, 히스파","Poggio Graffetta, Hyspa",https://www.wine21.com/13_search/wine_view.html?Idx=174993&lq=LIST,포지오 그라페타  Poggio Graffetta,이탈리아(Italy) / 시칠리아(Sicilia),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 시라/쉬라즈 (Syrah/Shiraz) / 쁘띠 베르도 (Petit Verdot),손수확(포도나무당 1Kg 소량 수확). 스테인리스 발효조에서 28도의 온도로 발효 후 젖산 발표.,"각각의 품종을 500리터 오크통에서 숙성 후, 병입 전 블렌딩. 병입 후 6개월 병 숙성.",13~14 %,16~18 ℃,,모멘텀와인컴퍼니,1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 체리, 블루베리, 라스베리, 자두, 라벤더, 제비꽃, 꽃, 육두구, 후추, 감초, 오크, 버섯","그릴요리, 소고기, 스테이크, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 족발, 토마토파스타, 크림파스타, 리조토, 서양요리, 피자, 자두, 견과류, 랑그르, 샤우르스, 치즈, 파르미지아노, 그라노파다노, 고르곤졸라, 테트드무안, 콩테",* 잔당 - 1.5 g/L* 총산 - 5.89 g/L,,
"무따르, 핀 샹파누아즈","Moutard, Fine Champenoise",https://www.wine21.com/13_search/wine_view.html?Idx=174994&lq=LIST,무따르  Champagne Moutard & Domaine Moutard,프랑스(France) / 샹빠뉴(Champagne) / 꼬뜨 데 바(Côte des Bar),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),전통 방식의 구리 증류기를 통해 11월 중순 부터 2월 말까지 증류 진행.,5년간 프렌치 오크 숙성.,40 %,16~18 ℃,,모멘텀와인컴퍼니,0/5,0/5,0/5,0/5,"바나나, 건포도, 말린과일, 바닐라, 감초, 홍차, 헤이즐넛, 아몬드, 가죽, 버섯","건육, 과일, 견과류, 치즈, 디저트, 케이크, 초콜릿",,,
"도멘 루 페레 에 피스, 쥬브레 샹베르탕 크뤼 브루이야 비에이 비뉴","Domaine Roux Pere & Fils, Gevrey-Chambertin Creux Brouilard Vieilles Vignes",https://www.wine21.com/13_search/wine_view.html?Idx=174995&lq=LIST,도멘 루 페레 에 피스  Domaine Roux Pere & Fils,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir),,"15~20일간 스테인리스 스틸통에서 1차 발효, 30% 새 오크통에서 2차발효를 거친 후 15~18개월간 숙성 (20% 새오크).",,14~16 ℃,"로스트비프, 바비큐, 훈제오리, 닭고기, 참치, 훈제연어, 수육, 편육, 송이버섯, 다양한 치즈, 콩테, 크림파스타 등과 잘 어울린다.",에노테카코리아,0/5,2/5,3/5,3/5,"딸기, 라스베리, 제비꽃, 장미, 꽃, 감초, 가죽","로스트비프, 까르파치오, 바비큐, 건육, 훈제오리, 닭고기, 참치, 장어구이, 편육, 수육, 오일파스타, 크림파스타, 서양요리, 버섯, 치즈, 테트드무안, 콩테, 그뤼에르","* 1936년 심은 75살 수령의 비에이 비뉴 (올드 바인) 에서 포도 수확* 헥타르당 생산량이 4500L로 적으며, 응축감 있는 와인을 생산",Burgundy Côte de Nuits Red,Gevrey-Chambertin AOC(AOP)
"도멘 루 페레 에 피스, 풀리니 몽라셰 레정세니에르","Domaine Roux Pere & Fils, Puligny Montrachet Les Enseigneres",https://www.wine21.com/13_search/wine_view.html?Idx=174996&lq=LIST,도멘 루 페레 에 피스  Domaine Roux Pere & Fils,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay),,12~14개월 프렌치 오크 숙성(30% 새오크),,12~14 ℃,"가금류, 오리로스, 치킨, 장어구이, 해산물, 숙성 치즈, 오일파스타 등과 잘 어울린다.",에노테카코리아,1/5,3/5,4/5,1/5,"배, 서양배, 아카시아, 미네랄, 토스트, 버터, 꿀","송아지, 로스트비프, 까르파치오, 꼬치구이, 건육, 오리로스, 치킨, 참치, 장어구이, 해산물, 순대, 만두, 오일파스타, 치즈, 파르미지아노, 체다, 고다, 그라노파다노, 콩테",,Burgundy Côte de Beaune White,Puligny-Montrachet AOC(AOP)
"한스 헤르조그, 소비뇽 블랑 쉬르 리","Hans Herzog, SauvignonBlanc Sur lie",https://www.wine21.com/13_search/wine_view.html?Idx=174997&lq=LIST,한스 헤르조그  Hans Herzog,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),소비뇽 블랑 (Sauvignon Blanc) / 세미용 (Semillon),,,13~14 %,10~12 ℃,"생선회, 광어, 생선구이, 해산물, 새우, 샐러드, 동남아요리, 아시아요리, 튀김 등과 잘 어울린다.",,1/5,4/5,3/5,1/5,"복숭아, 자몽, 레몬껍질, 레몬, 미네랄, 버터, 오크","광어, 생선회, 해산물, 랍스터, 새우, 킹크랩, 동남아요리, 아시아요리, 튀김, 샐러드, 복숭아",,New Zealand Sauvignon Blanc,
"한스 헤르조그, 피노 누아","Hans Herzog, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=174998&lq=LIST,한스 헤르조그  Hans Herzog,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),피노 누아 (Pinot Noir),,,14~15 %,14~16 ℃,"로스트비프, 바비큐, 훈제오리, 닭고기, 수육, 편육, 송이버섯, 다양한 치즈, 콩테, 크림파스타 등과 잘 어울린다.",,1/5,4/5,3/5,2/5,"블랙커런트, 체리, 라스베리, 자두, 후추, 초콜릿, 오크, 흙","샤브샤브, 로스트비프, 까르파치오, 건육, 오리고기, 훈제오리, 찜닭, 닭고기, 편육, 수육, 크림파스타, 송이버섯, 자두, 치즈, 테트드무안, 꽁떼",,New Zealand Pinot Noir,
"한스 헤르조그, 샤도네이","Hans Herzog, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=174999&lq=LIST,한스 헤르조그  Hans Herzog,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,"돼지고기, 가금류, 오리로스, 치킨, 장어구이, 해산물, 숙성 치즈, 오일파스타 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,"백도, 복숭아, 레몬, 열대과일, 파인애플, 미네랄, 오크","바비큐, 돼지고기, 닭고기, 오리로스, 치킨, 참치, 장어구이, 해산물, 보쌈, 만두, 수육, 오일파스타, 중국요리, 탕수육, 복숭아, 견과류",,New Zealand Chardonnay,
"한스 헤르조그, 피노 그리","Hans Herzog, Pinot Gris",https://www.wine21.com/13_search/wine_view.html?Idx=175000&lq=LIST,한스 헤르조그  Hans Herzog,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),피노 그리 (Pinot Gris),,,13~14 %,10~12 ℃,"돼지고기, 생선구이, 해산물, 게, 치즈, 리코타, 크림치즈, 샐러드, 자장면, 튀김 등과 잘 어울린다.",,1/5,3/5,1/5,1/5,"살구, 배, 사과, 오렌지, 감귤, 멜론","꼬치구이, 바비큐, 돼지고기, 건육, 양념치킨, 닭강정, 후라이드, 닭고기, 생선구이, 해산물, 게살, 새우, 비빔밥, 오일파스타, 서양요리, 아시아요리, 튀김, 샐러드, 치즈, 리코타",* 2018 빈티지 - The Real Review 90 점* 2018 빈티지 - Jancis Robinson 16.5 점* 2018 빈티지 - Michael Cooper 5/5 star,New Zealand Pinot Gris,
"한스 헤르조그, 퀴베 테레즈 빈티지 로제","Hans Herzog, Cuvée Thérèse Vintage Rosé",https://www.wine21.com/13_search/wine_view.html?Idx=175001&lq=LIST,한스 헤르조그  Hans Herzog,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),,,14~15 %,6~8 ℃,"생선 요리, 스시, 붉은 과실이 들어간 디저트, 에피타이저, 간식, 새우, 랍스터, 샐러드, 과일, 치즈 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,"딸기, 라스베리, 자몽, 오렌지, 아몬드, 호두","건육, 스시, 생선회, 해산물, 새우, 중국요리, 동남아요리, 아시아요리, 튀김, 식전주, 샐러드, 과일, 견과류, 치즈, 디저트, 케이크",* 프랑스 상파뉴 지역의 전통적 기법인 Methode Traditionnelle을 활용해 만든 뉴질랜드의 스파클링 와인.,,
"샴페인 로랑 르카르, 뮈니에 밀레짐","Laurent Lequart, Meunier Millésimé",https://www.wine21.com/13_search/wine_view.html?Idx=175002&lq=LIST,샴페인 로랑 르카르  Laurent Lequart,프랑스(France) / 샹빠뉴(Champagne) / 발레 드 라 마른(Vallee de la Marne),피노 뮈니에 (Pinot Meunier),Dosage : 3g/liter.,36개월 숙성.,,10~12 ℃,"식전주, 회, 해산물, 굴, 랍스터, 킹크랩, 숙성치즈, 페타, 브리, 콩테, 건육 등과 잘 어울린다.",,1/5,5/5,3/5,1/5,"서양배, 사과, 시트러스, 흰꽃, 미네랄, 건초, 꿀","건육, 초밥, 생선회, 해산물, 랍스터, 킹크랩, 식전주, 과일, 치즈, 파르미지아노, 그라노파다노, 콩테",* Berliner Wein Trophy – Gold* International Wine Challenge - Silver,French Champagne,
"필립 드쉘, 블랑 드 누아 브뤼","Philippe Dechelle, Blanc de Noirs Brut",https://www.wine21.com/13_search/wine_view.html?Idx=175003&lq=LIST,필립 드쉘  Philippe Dechelle,,피노 누아 (Pinot Noir),Dosage : 4g / l,스틸 탱크의 저온 저장 시스템에서 8개월간 숙성. 병입 후 최소 3년간 리즈 컨택 숙성을 통해 출시.,,10~12 ℃,"식전주, 회, 해산물, 굴, 랍스터, 킹크랩, 숙성치즈, 페타, 브리, 콩테, 건육 등과 잘 어울린다.",,1/5,4/5,2/5,2/5,"복숭아, 시트러스, 자몽, 오렌지, 레몬, 꽃, 미네랄, 페이스트리, 브리오슈, 토스트","꼬치구이, 건육, 초밥, 생선회, 참치, 해산물, 게살, 생굴, 중국요리, 아시아요리, 튀김, 식전주, 샐러드, 과일, 견과류, 파르미지아노, 그라노파다노, 리코타, 콩테",* 2022 International Wine Challenge : 90 / 100* 2022 GILBERT ET GAILLARD : Gold* 2021 Médaillé d'or au concours international FEMINALISE : Gold* 2020 Le Guide Hachette des vins : 1 Star,French Champagne,
"필립 드쉘, 블랑 드 블랑 브뤼","Philippe Dechelle, Blanc de Blancs Brut",https://www.wine21.com/13_search/wine_view.html?Idx=175004&lq=LIST,필립 드쉘  Philippe Dechelle,프랑스(France) / 샹빠뉴(Champagne) / 발레 드 라 마른(Vallee de la Marne),샤르도네 (Chardonnay),Dosage : 8g / l,말로락틱 발효 후 스테인리스 스틸 탱크의 저온 저장 시스템에서 8개월간 숙성. 병입 후 최소 4년간 리즈 컨택 숙성,,10~12 ℃,"식전주, 회, 해산물, 굴, 랍스터, 킹크랩, 숙성치즈, 페타, 브리, 콩테, 건육 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,"시트러스, 레몬, 꽃, 헤이즐넛, 아몬드, 버터","건육, 닭강정, 치킨, 생선회, 참치, 해산물, 랍스터, 새우, 킹크랩, 중국요리, 동남아요리, 아시아요리, 아페리티프, 식전주, 샐러드, 과일, 견과류, 피스타치오, 치즈, 리코타, 콩테",* 2022 GILBERT ET GAILLARD : Gold* VIVINO : 4.0,French Champagne,
"플로헝 베즈호노, 뀌베 쌩 리에 프리미에 크뤼","Florent Bergeronneau, Cuvée Saint Lié 1er Cru",https://www.wine21.com/13_search/wine_view.html?Idx=175005&lq=LIST,플로헝 베즈호노-마리옹   Florent Bergeronneau-Marion,프랑스(France) / 샹빠뉴(Champagne) / 몽따뉴 드 랭스(Montagne de Reims),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir) / 피노 뮈니에 (Pinot Meunier),포도나무 수령 10~50년에서 손 수확.,"압착 후 스테인리스  스틸 탱크에서 숙성, 27개월간의 병 숙성.",,10~12 ℃,"식전주, 회, 해산물, 굴, 랍스터, 킹크랩, 숙성치즈, 페타, 브리, 콩테, 건육 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,"청사과, 배, 사과, 라임, 미네랄, 부싯돌","건육, 초밥, 생선회, 해산물, 생굴, 부각, 나물, 오일파스타, 중국요리, 아시아요리, 아페리티프, 식전주, 샐러드, 과일, 치즈, 리코타, 바게트, 티라미슈",* Vivino 평점 - 4.0* Harvest : 2019 년* Bottling : 2020 년* Dosage : 8g / l,French Champagne,Champagne AOC(AOP)
"플로헝 베즈호노, 뀌베 프레스티지 1er 크뤼 퓌 드 센","Florent Bergeronneau, Cuvée  Prestigious 1er Cru Fut de Chene",https://www.wine21.com/13_search/wine_view.html?Idx=175006&lq=LIST,플로헝 베즈호노-마리옹   Florent Bergeronneau-Marion,프랑스(France) / 샹빠뉴(Champagne) / 몽따뉴 드 랭스(Montagne de Reims),피노 뮈니에 (Pinot Meunier) / 피노 누아 (Pinot Noir),"포도나무 평균수령 25년에서 손수확. 포도는 공기 압착 후, 발효부터 숙성까지 모두 오크 배럴에서 이뤄지는 Fud de Chene 방식으로 양조.",오크통에서 7~8개월 동안 숙성 후 20개월간 병 숙성.,,10~12 ℃,"식전주, 회, 해산물, 굴, 랍스터, 킹크랩, 숙성치즈, 페타, 브리, 콩테, 건육 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,"서양배, 사과, 미네랄, 페이스트리, 토스트, 헤이즐넛, 호두","건육, 초밥, 생선회, 참치, 해산물, 새우, 킹크랩, 오일파스타, 중국요리, 아시아요리, 아페리티프, 식전주, 샐러드, 견과류, 치즈, 테트드무안, 콩테",* 2019 Vignerons Independent Winegrowers : Gold* 2017 Féminalises  : Gold / Independent Winegrowers : Gold* 2016 Independent Winegrowers : Gold* 2015 Independent Winegrowers : Gold* 2010 Selected in the Hachette guide : 2 stars* 2007 Favorite in the Hachette guide : 3 stars* VIVINO : 4.0* Harvest : 2020 년* Bottling : 2021 년* Dosage : 7g / l,French Champagne,Champagne AOC(AOP)
"플로헝 베즈호노, 밀레짐 1er 크뤼","Florent Bergeronneau, Millésime 1er Cru",https://www.wine21.com/13_search/wine_view.html?Idx=175007&lq=LIST,플로헝 베즈호노-마리옹   Florent Bergeronneau-Marion,프랑스(France) / 샹빠뉴(Champagne) / 몽따뉴 드 랭스(Montagne de Reims),샤르도네 (Chardonnay) / 피노 뮈니에 (Pinot Meunier) / 피노 누아 (Pinot Noir),포도나무 평균수령 30년에서 각 포도 품종별 최상의 시기에 손수확.,"스테인리스 스틸 탱크에서 숙성, 48개월간의 병 숙성.",,10~12 ℃,"식전주, 회, 해산물, 굴, 랍스터, 킹크랩, 숙성치즈, 페타, 브리, 콩테, 건육 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,"배, 사과, 시트러스, 오렌지, 미네랄, 부싯돌","건육, 스시, 생선회, 참치, 해산물, 랍스터, 생굴, 킹크랩, 나물, 비빔밥, 오일파스타, 중국요리, 팔보채, 아시아요리, 아페리티프, 샐러드, 과일, 견과류, 치즈, 리코타, 콩테",* VIVINO : 4.0* Harvest : 2016 년* Bottling : 2017 년* Dosage : 8g / l,French Champagne,Champagne AOC(AOP)
"샤또 마르소, 샤또 마르소","Chateau Marsau, Chateau Marsau",https://www.wine21.com/13_search/wine_view.html?Idx=175008&lq=LIST,샤또 마르소  Chateau Marsau,프랑스(France) / 보르도(Bordeaux) / 프랑 꼬뜨 드 보르도(Francs Côtes de Bordeaux),메를로 (Merlot),,,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 바비큐, 훈제오리, 불고기, 갈비찜, 피자, 파스타 등과 잘 어울린다.",(주)인디펜던트리쿼코리아,1/5,3/5,3/5,3/5,"블랙커런트, 블랙베리, 블루베리, 자두, 미네랄, 육두구, 정향, 송로버섯, 젖은흙","소고기, 스테이크, 육류요리, 붉은육류, 바비큐, 양꼬치, 양고기, 훈제오리, 불고기, 갈비찜, 족발, 라자냐, 토마토파스타, 리조토, 피자, 자두, 견과류, 랑그르, 샤우르스, 치즈, 파르미지아노, 까망베르, 그라노파다노, 에뿌아쓰, 로크포르",,Bordeaux Red,Côtes de Bordeaux AOC(AOP)
"샤또 마르소, 프렐류드","Chateau Marsau, Prelude",https://www.wine21.com/13_search/wine_view.html?Idx=175009&lq=LIST,샤또 마르소  Chateau Marsau,프랑스(France) / 보르도(Bordeaux) / 프랑 꼬뜨 드 보르도(Francs Côtes de Bordeaux),메를로 (Merlot),,,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 바비큐, 훈제오리, 불고기, 갈비찜, 피자, 파스타 등과 잘 어울린다.",(주)인디펜던트리쿼코리아,1/5,3/5,3/5,3/5,"블랙체리, 블랙베리, 블루베리, 자두, 바닐라, 정향, 허브, 카카오","로스트비프, 소고기, 스테이크, 붉은육류, 바비큐, 건육, 훈제오리, 불고기, 양념갈비, 갈비찜, 라자냐, 파스타, 피자, 중국요리, 자두, 견과류, 랑그르, 치즈, 파르미지아노, 체다, 그라노파다노, 로크포르, 그뤼에르",,Bordeaux Red,Côtes de Bordeaux AOC(AOP)
