와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,양조,숙성,알코올,음용온도,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,스타일,등급,추천음식
"쿠네, 모노폴 레제르바","CVNE, Monopole Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=177045&lq=LIST,쿠네  CVNE,스페인(Spain) / 리오하(Rioja),비우라 (Viura) / 팔로미노 (Palomino),5HA의 싱글빈야드에서 손수확하고 압착한 후 콘크리트 탱크(60년대 스타일)에서 청징/안정화.,스테인레스 탱크에서 발효 후 오크 및 셰리 “보타＂에서 효모와 함께 8개월간 숙성.,13~14 %,8~10 ℃,롯데칠성음료,1/5,4/5,4/5,1/5,"시트러스, 레몬, 파인애플, 꽃, 허브, 캐모마일, 아몬드, 캐슈넛, 연기","생선회, 흰살생선, 장어, 해산물, 오일파스타, 중국요리, 식전주",,,,
"손시에라, 셀렉시온 템프라니요","Sonsierra, Seleccion Tempranillo",https://www.wine21.com/13_search/wine_view.html?Idx=177047&lq=LIST,보데가스 손시에라  Bodegas Sonsierra,스페인(Spain) / 리오하(Rioja) / 리오하 알타(Rioja Alta),템프라니요 (Tempranillo),평균수령 20년 이상의 포도밭에서 100% 손수확하여 25도에 맞춘 콘크리트 탱크에서 발효. 포도껍질을 포함한 침용은 7일 동안만 실시.,,13~14 %,14~16 ℃,콤마 와인,1/5,3/5,3/5,2/5,"레드커런트, 블루베리, 감초, 치즈, 요거트","로스트비프, 까르파치오, 붉은육류, 건육, 생선구이, 생선찜, 편육, 순대, 파스타, 치즈, 체다, 고다","* 2022 World Tempranillo Competition : Gold Medal* Vivino: 3.5* Bodegas Sonsierra는 리오하 알타의 San Vicente de la Sonsierra에 위치한 협동조합 와이너리입니다. 1962년 240여곳의 포도생산자들이 그들의 와인을 생산하기 위해 협동조합을 결성하는 오랜 꿈을 실현하였습니다. '혼자서는 불가능하지만 함께 라면 가능하다'는 기치아래 의기투합하여 리오하 최조로 병입한 와인을 판매하는 협동조합이 탄생한 것입니다.현재 750헥타르에 이르는 포도밭을 소유하고 있으며 이는 리오하 알타 전체 포도밭의 30%에 해당합니다. 그들은 혁신적인 선구자로 퍼퓸 드 손시에라, 싱글 빈야드 와인과 같은 놀라운 프로젝트를 성공시켰습니다. 품질과 혁신에 집중한 결과 2019/21/23년에 와인 평론가이자 와인 마스터인 Tim Atkin으로 부터 '올해의 협동 조합'으로 3번이나 선정되었습니다.Seleccion 시리즈는 손시에라의 가장 기본이 되는 와인으로 100% 손수확하며 매 빈티지 마다 일정한 품질을 유지하며 수상경력도 화려합니다.",,,
"손시에라, 셀렉시온 비우라","Sonsierra, Seleccion Viura",https://www.wine21.com/13_search/wine_view.html?Idx=177048&lq=LIST,보데가스 손시에라  Bodegas Sonsierra,스페인(Spain) / 리오하(Rioja) / 리오하 알타(Rioja Alta),비우라 (Viura),평균수령 40년의 포도밭에서 손수확. 포도의 아로마를 최대한 추출하기 위해 24시간 동안 포도껍찔 채 침용 한 후 또 다시 24시간 동안 침전물을 제거하는 작업인 데브루바주(Debourbage) 실시. 17도로 유지되는 스테인레스 탱크에서 15일간 발효.,,12~13 %,8~10 ℃,콤마 와인,1/5,3/5,2/5,1/5,"청사과, 서양배, 시트러스, 자몽, 꽃, 허브","생선구이, 생선회, 해산물, 샐러드","* Vivino: 3.4* Bodegas Sonsierra는 리오하 알타의 San Vicente de la Sonsierra에 위치한 협동조합 와이너리입니다. 1962년 240여곳의 포도생산자들이 그들의 와인을 생산하기 위해 협동조합을 결성하는 오랜 꿈을 실현하였습니다. '혼자서는 불가능하지만 함께 라면 가능하다'는 기치아래 의기투합하여 리오하 최조로 병입한 와인을 판매하는 협동조합이 탄생한 것입니다.현재 750헥타르에 이르는 포도밭을 소유하고 있으며 이는 리오하 알타 전체 포도밭의 30%에 해당합니다. 그들은 혁신적인 선구자로 퍼퓸 드 손시에라, 싱글 빈야드 와인과 같은 놀라운 프로젝트를 성공시켰습니다. 품질과 혁신에 집중한 결과 2019/21/23년에 와인 평론가이자 와인 마스터인 Tim Atkin으로 부터 '올해의 협동 조합'으로 3번이나 선정되었습니다.",,,
"손시에라, 크리안자","Sonsierra, Crianza",https://www.wine21.com/13_search/wine_view.html?Idx=177049&lq=LIST,보데가스 손시에라  Bodegas Sonsierra,스페인(Spain) / 리오하(Rioja) / 리오하 알타(Rioja Alta),템프라니요 (Tempranillo),손수확한 포도를 24시간 동안 침용한 후 알코올 발효.  8일 동안 25도로 맞춘 스테인리스 스틸 탱크에서 주기적으로 펌핑하여 과일 향을 최대한 보존하고 추출. 발효 후 24~48시간 동안 침용하여 침전물을 제거하고 콘크리트 탱크에서의 젖산발효.,보르도 오크 배럴에서 12개월간 숙성. 병입 후 크리안자 와인으로서 최소 3개월 더 숙성.,13~14 %,14~16 ℃,콤마 와인,1/5,3/5,3/5,2/5,"레드커런트, 체리, 라스베리, 붉은꽃, 바닐라, 감초, 커피, 코코아","붉은육류, 돼지고기, 건육, 훈제오리, 불고기, 파스타, 치즈, 체다",,Spanish Tempranillo,,
"손시에라, 블랑코 페르만타도 앙 바리카","Sonsierra, Blanco Fermentado en Barrica",https://www.wine21.com/13_search/wine_view.html?Idx=177050&lq=LIST,보데가스 손시에라  Bodegas Sonsierra,스페인(Spain) / 리오하(Rioja) / 리오하 알타(Rioja Alta),비우라 (Viura),평균 수령 40년 이상의 포도밭의 비우라를 손수확하여 저온에서 껍질 채 24시간 동안 침용하여 최대한의 아로마를 추출.  알코올 발효 중 포도즙의 당도가 떨어지기 시작하면 미국산 새 오크통으로 옮겨 알코올 발효를 마무리. 약 3.5개월 앙금위 숙성. 젖산발효를 하지 않아 산도가  보존되어 아주 신선하고 상큼한 화이트 와인.,,12~13 %,10~12 ℃,콤마 와인,1/5,3/5,3/5,1/5,"배, 시트러스, 레몬, 파인애플, 흰꽃, 꽃, 바닐라, 토스트, 아몬드","오리로스, 치킨, 생선구이, 생선 까르파치오, 해산물, 오일파스타, 아시아요리, 치즈","* Tom Atkin: 90* Vivino: 4.0* 2024 Asia Wine Trophy: Silver Medal* Bodegas Sonsierra는 리오하 알타의 San Vicente de la Sonsierra에 위치한 협동조합 와이너리입니다. 1962년 240여곳의 포도생산자들이 그들의 와인을 생산하기 위해 협동조합을 결성하는 오랜 꿈을 실현하였습니다. '혼자서는 불가능하지만 함께 라면 가능하다'는 기치아래 의기투합하여 리오하 최조로 병입한 와인을 판매하는 협동조합이 탄생한 것입니다.현재 750헥타르에 이르는 포도밭을 소유하고 있으며 이는 리오하 알타 전체 포도밭의 30%에 해당합니다. 그들은 혁신적인 선구자로 퍼퓸 드 손시에라, 싱글 빈야드 와인과 같은 놀라운 프로젝트를 성공시켰습니다. 품질과 혁신에 집중한 결과 2019/21/23년에 와인 평론가이자 와인 마스터인 Tim Atkin으로 부터 '올해의 협동 조합'으로 3번이나 선정되었습니다.",,,
"손시에라, 퍼퓸 드 손시에라","Sonsierra, Perfume de Sonsierra",https://www.wine21.com/13_search/wine_view.html?Idx=177051&lq=LIST,보데가스 손시에라  Bodegas Sonsierra,스페인(Spain) / 리오하(Rioja) / 리오하 알타(Rioja Alta),템프라니요 (Tempranillo),수령 80년의 4개의 엄선된 포도밭에서 손수확한 포도를 짧은 침용기간을 거쳐 알코올 발효.,프리런 와인만 13개의 다른 업체에서 만든 65개의 새 프렌치 오크통에 채워 17개월간 숙성. 병입 후 8개월 더 숙성한 다음 출시.,13~14 %,16~18 ℃,콤마 와인,1/5,3/5,4/5,3/5,"레드커런트, 블랙베리, 체리, 바닐라, 민트, 카라멜, 모카","소고기, 스테이크, 붉은육류, 바비큐, 오리고기, 치킨, 연어, 매운요리","* Robert Parker: 91* Guia PeninL 91* Tim Atkin MW: 93* AWC Internationl Wine Challenge: Gold Medal* Mundial Tempranillo Bruxelas: Gold Medal* Challenge International du Vin: Gold Medal* Bodegas Sonsierra는 리오하 알타의 San Vicente de la Sonsierra에 위치한 협동조합 와이너리입니다. 1962년 240여곳의 포도생산자들이 그들의 와인을 생산하기 위해 협동조합을 결성하는 오랜 꿈을 실현하였습니다. '혼자서는 불가능하지만 함께 라면 가능하다'는 기치아래 의기투합하여 리오하 최조로 병입한 와인을 판매하는 협동조합이 탄생한 것입니다.현재 750헥타르에 이르는 포도밭을 소유하고 있으며 이는 리오하 알타 전체 포도밭의 30%에 해당합니다. 그들은 혁신적인 선구자로 퍼퓸 드 손시에라, 싱글 빈야드 와인과 같은 놀라운 프로젝트를 성공시켰습니다. 품질과 혁신에 집중한 결과 2019/21/23년에 와인 평론가이자 와인 마스터인 Tim Atkin으로 부터 '올해의 협동 조합'으로 3번이나 선정되었습니다.보데가스 손시에라의 플래그쉽 와인샤넬 No. 5에 대한 오마주",Spanish Tempranillo,,
"4 모노스, GR-10 틴토","4 Monos, GR-10 Tinto",https://www.wine21.com/13_search/wine_view.html?Idx=177052&lq=LIST,4 모노스 비티컬토레스  4 Monos Viticultores,스페인(Spain) / 비노스 데 마드리드(Vinos de Madrid),그르나슈 (Grenache) / 까리네나 (Carinena) / 시라/쉬라즈 (Syrah/Shiraz),해발 700-850m에 있는 수령 31년-87년 포도밭에서 유기농으로 재배한 포도를 손수확하여 포도 송이 전체를 넣어 포도 자체의 효모만으로 자연발효. 5-21일간 저온 침용한 후 부드럽게 압착.,"프렌치 오크통(300, 600L)과 대형 오크탱크(4,500L)에서 9개월간 숙성, 이후 콘크리트 탱크에서 4개월 더 숙성",14~15 %,16~18 ℃,콤마 와인,1/5,4/5,3/5,3/5,"체리, 라스베리, 제비꽃, 라일락, 붉은꽃, 꽃, 미네랄","송아지, 로스트비프, 오리고기, 훈제오리, 치킨, 불고기, 족발, 순대, 중국요리, 치즈, 파르미지아노, 고다, 그라노파다노","* Wine Advocate: 91* Vivino: 3.8* 스페인 와인의 새로운 물결을 주도하는 4명의 혁명가 – 4 Monos( 4 Monkeys)4와인메이커를 포함한 4명의 와인 애호가 친구들이 마드리드 부근 시에라 데 그레도스산을 오르다 높은 지대에서 올리브와 아몬드 나무, 야생화로 뒤덮힌 오래된 포도밭을 발견하였습니다. 아름다운 경치와 화강암 지대에 매료된 이들은 직접 와인을 만들기로 결정하고 4 Monos(4마리 원숭이) 프로젝트를 기획하였습니다.  2009년 5 헥타르의 포도밭을 매입하고 2010년 첫 빈티지를 출시하였고 현재는 10헥타르에서 와인을 생산하고 있습니다.4 Monos는 오크숙성 기간이 와인의 품질을 결정하는 스페인 와인의 관습에 반기를 들고 그들만의 원칙을 정하였습니다 : 1)유기농법으로 시에라 데 그레도스의 토양이 표현되는 와인 2)사람의 개입을 최소화하는 자연적인 양조방법 –포도송이 전체 발효, 길고 부드러운 침용, 최소한의 추출, 지나친 오크향 배제-등 으로 '신선하고 미네랄이 풍부한 와인'을 만드는 것입니다.Jancis Robinson 등 와인 전문가들이 4 Monos 와인들을 높이 평가하면서 대량 생산 와인 원산지로 알려져 있던 Vinos de Madrid는 최근 떠오르는 와인생산지로 주목받는 계기가 되었습니다.GR-10은 리스본과 발렌시아를 연결하는 멋진 도보여행길의 이름이며, 높은 지대의 화강암 토양과 자연적인 양조법, 다양한 숙성방법이 만들어내는 신선하고도 오묘한 맛의 특별한 와인입니다.",Spanish Grenache,,
"4 모노스, 띠에라 데 루나","4 Monos, Tierra De Luna",https://www.wine21.com/13_search/wine_view.html?Idx=177053&lq=LIST,4 모노스 비티컬토레스  4 Monos Viticultores,스페인(Spain) / 비노스 데 마드리드(Vinos de Madrid),그르나슈 (Grenache),"해발 750-830에 있는 수령 50-70년 포도밭에서  손수확하여, 포도 송이 전체를 넣어 저온 침용하며 포도자체의 효모로 35-40일 동안  자연 발효.","각기 다른 사이즈의 오크통(600, 500, 300L)에서 15개월간 숙성하여 2020년 6월에 병입.",14~15 %,16~18 ℃,콤마 와인,1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 체리, 라스베리, 붉은꽃, 미네랄, 말린허브, 오크","붉은육류, 양고기, 치킨, 파스타, 토마토파스타, 중국요리","* Jancis Robinson:17/20* Robert Parker: 93* Vivino: 3.8* 스페인 와인의 새로운 물결을 주도하는 4명의 혁명가 – 4 Monos( 4 Monkeys)와인메이커를 포함한 4명의 와인 애호가 친구들이 마드리드 부근 시에라 데 그레도스산을 오르다 높은 지대에서 올리브와 아몬드 나무, 야생화로 뒤덮힌 오래된 포도밭을 발견하였습니다. 아름다운 경치와 화강암 지대에 매료된 이들은 직접 와인을 만들기로 결정하고 4 Monos(4마리 원숭이) 프로젝트를 기획하였습니다.  2009년 5 헥타르의 포도밭을 매입하고 2010년 첫 빈티지를 출시하였고 현재는 10헥타르에서 와인을 생산하고 있습니다.4 Monos는 오크숙성 기간이 와인의 품질을 결정하는 스페인 와인의 관습에 반기를 들고 그들만의 원칙을 정하였습니다 : 1)유기농법으로 시에라 데 그레도스의 토양이 표현되는 와인 2)사람의 개입을 최소화하는 자연적인 양조방법 –포도송이 전체 발효, 길고 부드러운 침용, 최소한의 추출, 지나친 오크향 배제-등 으로 '신선하고 미네랄이 풍부한 와인'을 만드는 것입니다.Jancis Ronbinson 등 와인 전문가들이 4 Monos 와인들을 높이 평가하면서 대량 생산 와인 원산지로 알려져 있던 Vinos de Madrid는 최근 떠오르는 와인생산지로 주목받는 계기가 되었습니다",,,
"셀러 프리삭, 라브르넷 블랑","Celler Frisach, L'Abrunet Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=177054&lq=LIST,셀러 프리삭  Celler Frisach,스페인(Spain) / 테라 알타(Terra Alta),가르나차 블랑카  (Garnacha Blanca),"같은 포도나무에서 수확을 두번에 나누어 하는 것이 특징. 첫번째는 알코올 도수 11.5도를 얻을 수 있을 때 하여 포도의 자연적인 산도와 가르나차 블랑 품종의 시원하고 상큼한 레몬계 과일의 향을 살리며, 두번째 수확은 알코올 도수 14도를 얻을 수 있을 때 실시. 따로 발효한 와인은 양조과정에서 블렌딩.",,13~14 %,10~12 ℃,콤마 와인,1/5,4/5,2/5,1/5,"살구, 배, 시트러스, 라임, 열대과일, 미네랄, 아니스","오리로스, 치킨, 생선구이, 생선회, 해산물, 오일파스타, 중국요리, 아시아요리, 샐러드, 과일, 치즈","* Vivino: 3.7* 스페인 내추럴 와인의 스타 – 셀러 프리작셀러 프리작은 스페인 남부 카탈로니아의 Terra Alta(High Land) 원산지에 있는 가족 와이너리로 두형제, 프란체스크와 후안 페레,가 와인을 생산합니다. 그들의 조상은 200년간 포도를 재배했으나 와인을 만들게 된 것은 프란체스크가 2009년 양조학을 공부하고 돌아온 후였습니다. 포도를 판매하는 대신 직접 와인을 만들겠다는 결심은 이 작은 마을, Corbera d'Ebre에서는 아주 획기적인 사건으로 자영 가족 와이너리가 그만큼 드문 곳이었습니다. 증조할아버지의 성을 따서 셀러 프리작으로 이름을 짓고 더 훌륭한 내추럴 와인을 목표로 매년 더 적은 인위적 개입, 더 가벼운 추출을 통해 더 우아하고 투명한 와인을 생산하고 있습니다. 프란체스크는 곧 내추럴 와인의 본 고장이라 할 수 있는 카탈로니아 지역에서 수퍼스타가 되었습니다.",,Terra Alta DO(DOP),"소스를 곁들인 생선 구이, 해산물, 치킨, 치즈, 샐러드"
"셀러 프리삭, 라 부르넷 로사토","Celler Frisach, L'Abrunet Rosato",https://www.wine21.com/13_search/wine_view.html?Idx=177055&lq=LIST,셀러 프리삭  Celler Frisach,스페인(Spain) / 테라 알타(Terra Alta),가르나차 블랑카  (Garnacha Blanca) / 가르나차 네그라 (Garnacha Negra),"유기농 싱글 빈야드에서 함께 자란 가르나챠 3품종을  동시에 수확, 줄기를 제거하고 파쇄하여 하루동안 침용. 압착하여 나오는 프리런 주스만을 스테인레스 스틸 탱크에 넣어 포도자체의 효모만으로 발효. 6개월 동안 앙금 위 숙성을 하며, 청징 여과를 하지 않으며 SO2도 사용하지 않는 내추럴 와인.",,13~14 %,12~14 ℃,콤마 와인,2/5,3/5,3/5,2/5,"체리, 딸기, 무화과, 사과, 레몬, 제비꽃, 미네랄, 아니스, 아몬드","치킨, 생선구이, 생선찜, 해산물, 샐러드, 케이크, 티라미수",,,,
