와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,양조,숙성,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,알코올,기타정보,등급
"아드리안 르누아르, 르 테루아","Adrien Renoir, Le Terroir",https://www.wine21.com/13_search/wine_view.html?Idx=170495&lq=LIST,아드리앙 르누아르  Adrien Renoir,프랑스(France) / 샹빠뉴(Champagne) / 몽따뉴 드 랭스(Montagne de Reims),샤르도네 (Chardonnay) 50% / 피노 누아 (Pinot Noir) 50%,French Champagne,"Fermentation in a steel tank with the natural yeast(80% steel, 20% barrique)",Minimum 24 months on the lees,6~8 ℃,돼지고기 연어 참치 갑각류 마일드하고 소프트한 치즈와 잘 어울린다.,크리스탈와인,1/5,4/5,2/5,1/5,"시트러스, 브리오슈, 꿀",치즈,,,
"도멘 기로 파르제트, 상세르 레 팡세요 블랑","Domaine Guillerault-fargette, Sancerre Les Panseillots Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=170496&lq=LIST,도멘 기로 파르제트  Domaine Guillerault-fargette,프랑스(France) / 루아르(Loire) / 센트럴 루아르(Central Loire) / 상세르(Sancerre),소비뇽 블랑 (Sauvignon Blanc),Upper Loire White,In stainless steel tank,In stainless steel tank,8~10 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",크리스탈와인,1/5,4/5,1/5,1/5,,,,,
벅 쉑 버번 배럴 카베르네 소비뇽,Buck Shack Bourbon Barrel Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=170497&lq=LIST,쉐넌 패밀리 오브 와인스  Shannon Family of Wines,미국(U.S.A) / 캘리포니아(California) / 노스 코스트(North Coast),카베르네 소비뇽 (Cabernet Sauvignon) 99% / 쁘띠 시라  (Petite Sirah) 1%,Californian Cabernet Sauvignon,,미국 위스키의 대명사인 버번 위스키를 담았던 오크통 Bourbon Barrel에서 숙성,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,1/5,4/5,4/5,4/5,"리치, 바닐라, 오크","양갈비, 치즈",14~15 %,,
"판티니, 깔라렌따 로자토 메를로","Fantini, Calalenta Rosato Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=170499&lq=LIST,판티니 그룹  Fantini Group,이탈리아(Italy) / 아브루쪼(Abruzzo),메를로 (Merlot) 100%,,"포도는 기온이 서늘한 밤에 손 수확한다, 수확 직후 포도의 분쇄 및 줄기 제거 압착 및 냉각 과정은 신선도 유지를 위해 최저 1 C 의 불활성 환경에서 단시간에 수행된다",스테인리스 스틸 탱크에서 30 일 동안 리 ( 숙성과정을 거치며 청칭 및 여과 후 병입한다,8~10 ℃,단독으로 아페리티프로 사용해도 좋고 생선 요리와 잘 어우러진다.,(주)와이넬,1/5,3/5,2/5,1/5,"딸기, 미네랄",아페리티프,,* 2020 Berliner Wine Trophy - Gold Medal* 2019 Concours International de Lyon - Gold Medal* 2021 Frankfurt International Trophy - Silver Medal* 2020 Korea Wine Challenge - Silver Medal* 2020 International Rosé Championship - Silver Medal,
"와인즈 바이 제프 하디, K1 어텀 하베스트 리슬링","Wines by Geoff Hardy, K1 Autumm Harvest Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=170500&lq=LIST,와인즈 바이 제프 하디  Wines by Geoff Hardy,호주(Australia),리슬링 (Riesling) 100%,Australian Riesling,RS : 184g/L,,8~10 ℃,"석류를 얹은 생크림, 머랭 디저트와 같은 디저트 요리와 잘 어울린다.",,3/5,3/5,1/5,1/5,"백도, 복숭아","복숭아, 디저트, 케이크",9~10 %,* Winestate Magazine 2019 - 5 Stars* Wine Showcase Magazine 2019 - 94점,
"꼬르베쪼, 오가닉 프로세코 로제","Corvezzo, Organic Prosecco Rose",https://www.wine21.com/13_search/wine_view.html?Idx=170501&lq=LIST,꼬르베쪼  Corvezzo,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera) 85% / 피노 네로 (Pinot Nero) 15%,Italian Prosecco,"유기농 인증, 비건 인증",,8~10 ℃,생선 튀김류와 잘 어울린다.,더블유에스통상,2/5,4/5,2/5,1/5,"체리, 크랜베리, 라스베리, 꽃, 후추","초밥, 생선회, 튀김",,,
"꼬르베쪼, 오가닉 프로세코 브뤼 밀레지마토","Corvezzo, Organic Prosecco Brut Millesimato",https://www.wine21.com/13_search/wine_view.html?Idx=170502&lq=LIST,꼬르베쪼  Corvezzo,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera) 85% / 기타 품종 (Other Grapes) 15%,Italian Prosecco,"유기농 인증, 비건 인증",,8~10 ℃,가벼운 음식들과도 잘 어울리고 특히 연어 수플레와 잘 어울린다.,더블유에스통상,1/5,4/5,1/5,1/5,"청사과, 배, 서양배, 사과, 아카시아",연어,,,
"꼬르베쪼, 오가닉 프로세코 드미섹","Corvezzo, Organic Prosecco Demisec",https://www.wine21.com/13_search/wine_view.html?Idx=170503&lq=LIST,꼬르베쪼  Corvezzo,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera),Italian Prosecco,"유기농 인증, 비건 인증",,8~10 ℃,"약간 매콤하면서 풍미를 가진 퓨전 음식과도 아주  잘 어울리고, 티라미수나 파나코타같이 달콤한 디저트와도 잘 어울린다.",더블유에스통상,1/5,4/5,1/5,1/5,"청사과, 자스민, 아카시아, 꿀",,,,
"라 트라베르사따, 베르멘티노","La Traversata, Vermentino",https://www.wine21.com/13_search/wine_view.html?Idx=170504&lq=LIST,라 트라베르사따  La Traversata,이탈리아(Italy) / 토스카나(Toscana),베르멘티노 (Vermentino),,"차가운 온도에서 부드럽게 압착, 유기농 인증, 비건 인증",2개월 동안 스테인레스 스틸 탱크에서 숙성,8~10 ℃,해산물과 함께하기 아주 좋으며 해산물이 들어간 리조또와도 아주 잘 어울린다.,더블유에스통상,1/5,3/5,2/5,1/5,"서양배, 청사과, 레몬","해산물, 리조또",,,Toscana IGT(IGP)
"라 트라베르사따, 네로 다볼라","La Traversata, Nero d'Avola",https://www.wine21.com/13_search/wine_view.html?Idx=170505&lq=LIST,라 트라베르사따  La Traversata,이탈리아(Italy) / 시칠리아(Sicilia),네로 다볼라 (Nero d'Avola),,침용과 발효를 약 6-8일간에 걸쳐 진행,3-5개월간 스테인레스 스틸 탱크에서 숙성,16~18 ℃,"리조또나 오븐 파스타, 붉은 고기류, 양고기 그리고 감칠맛 나는 치즈류와도 아주 잘 어울린다",더블유에스통상,1/5,3/5,4/5,3/5,"블랙베리, 자두","양고기, 자두, 치즈",,,Sicilia DOC(DOP)
