와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,양조,숙성,알코올,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,등급
"도멘 카롤린 모레이, 샤샤뉴 몽라쉐 샹 갱","Domaine Caroline Morey, Chassagne Montrachet 1er Cru Champs Gains",https://www.wine21.com/13_search/wine_view.html?Idx=169463&lq=LIST,도멘 카롤린 모레이   Domaine Caroline Morey,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 샤샤뉴-몽라셰(Chassagne-Montrachet),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,수확된 포도는 즉시 압착,지하 셀러에서 토착 효모를 이용하여 발효,13~14 %,10~12 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,1/5,감귤,"해산물, 수육, 탕수육, 치즈",,
"도멘 카롤린 모레이, 본 프르미에 크뤼 그레브 루지","Domaine Caroline Morey, Beaune 1er Cru Greves Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=169466&lq=LIST,도멘 카롤린 모레이   Domaine Caroline Morey,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Beaune Red,손으로 수확하여 압착,프랑스 오크 통에서 16~20개월 간 숙성,13~14 %,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,2/5,"체리, 미네랄",,,
"도멘 쟝 마르 & 토마스 보울리, 부르고뉴 알리고떼","Domaine Jean Mare & Thomas Bouley, Bourgogne Aligote",https://www.wine21.com/13_search/wine_view.html?Idx=169467&lq=LIST,도멘 쟝 마크 & 토마스 보울리  Domaine Jean Marc & Thomas Bouley,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),알리고테 (Aligote) 100%,Burgundy White,얕은 점토질 토양에서 자란 포도는 남향에 위치하여 최적의 성숙도에 달했을 때 수확,8개월 동안 오크통에서 숙성,13~14 %,8~10 ℃,"참치, 연어, 새우, 해산물, 하몽, 프로슈토, 다양한 치즈, 파스타 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,1/5,1/5,"배, 민트, 오크","파스타, 치즈",,
"도멘 쟝 마르 & 토마스 보울리, 부르고뉴 피노 코트 도르","Domaine Jean Mare & Thomas Bouley, Bourgogne Pinot Cote d'Or",https://www.wine21.com/13_search/wine_view.html?Idx=169468&lq=LIST,도멘 쟝 마크 & 토마스 보울리  Domaine Jean Marc & Thomas Bouley,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),피노 누아 (Pinot Noir),Burgundy Côte de Beaune Red,백악질의 점토 토양에서 자란 포도로 만들어지며 포도 나무의 평균 수령은 30년,약 2주간 발효한 뒤 오크통에서 12개월 동안 숙성,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,2/5,딸기,"파스타, 버섯, 치즈",,
"도멘 쟝 마르 & 토마스 보울리, 본 프르미에 크뤼  '흐베시'","Domaine Jean Mare & Thomas Bouley, Beaune 1er Cru 'Reserves'",https://www.wine21.com/13_search/wine_view.html?Idx=169469&lq=LIST,도멘 쟝 마크 & 토마스 보울리  Domaine Jean Marc & Thomas Bouley,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Beaune Red,"점토 토양에서 자란 포도로 만들어지며, 포도 나무의 평균 수령은 42년",오픈 통에서 약 3주간 발효하고 이후 오크통에서 18개월간 숙성,13~14 %,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,2/5,"체리, 오크",,,
"도멘 쟝 마르 & 토마스 보울리, 볼네","Domaine Jean Mare & Thomas Bouley, Volnay",https://www.wine21.com/13_search/wine_view.html?Idx=169470&lq=LIST,도멘 쟝 마크 & 토마스 보울리  Domaine Jean Marc & Thomas Bouley,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 볼네(Volnay),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Beaune Red,"점토 토양에서 자란 포도로 만들어지며, 포도 나무의 평균 수령은 25년",오픈 통에서 약 20일간 발효하고 이후 오크통에서 18개월간 숙성,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,2/5,"체리, 커피","파스타, 버섯, 치즈",,
"도멘 쟝 마르 & 토마스 보울리, 볼네 비에이 빈","Domaine Jean Mare & Thomas Bouley, Volnay Vielles Vigne",https://www.wine21.com/13_search/wine_view.html?Idx=169471&lq=LIST,도멘 쟝 마크 & 토마스 보울리  Domaine Jean Marc & Thomas Bouley,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 볼네(Volnay),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Beaune Red,"점토 토양에서 자란 포도로 만들어지며, 포도 나무의 평균 수령은 50년",오픈 통에서 약 3주간 발효하고 이후 오크통에서 20개월간 숙성,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,2/5,,"파스타, 버섯, 치즈",,
"도멘 쟝 마르 & 토마스 보울리, 볼네 '끌로 드 라 까브'","Domaine Jean Mare & Thomas Bouley, Volnay 'Clos de la Cave'",https://www.wine21.com/13_search/wine_view.html?Idx=169472&lq=LIST,도멘 쟝 마크 & 토마스 보울리  Domaine Jean Marc & Thomas Bouley,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 볼네(Volnay),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Beaune Red,"점토 토양에서 자란 포도로 만들어지며, 포도 나무의 평균 수령은 38년",오픈 통에서 약 17~21일간 발효하고 이후 오크통에서 20개월간 숙성,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,2/5,배,"파스타, 버섯, 치즈",,
"도멘 쟝 마르 & 토마스 보울리, 뽀마르","Domaine Jean Mare & Thomas Bouley, Pommard",https://www.wine21.com/13_search/wine_view.html?Idx=169473&lq=LIST,도멘 쟝 마크 & 토마스 보울리  Domaine Jean Marc & Thomas Bouley,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뽀마르(Pommard),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Beaune Red,"점토 토양에서 자란 포도로 만들어지며, 포도 나무의 평균 수령은 30년",오픈 통에서 약 17~21일간 발효하고 이후 오크통에서 20개월간 숙성,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,2/5,"체리, 미네랄, 타르","파스타, 버섯, 치즈",,
"도멘 쟝 마르 & 토마스 보울리, 뽀마르 프르미에 크뤼 '프루미에'","Domaine Jean Mare & Thomas Bouley, Pommard 1er Cru 'Fremiers'",https://www.wine21.com/13_search/wine_view.html?Idx=169474&lq=LIST,도멘 쟝 마크 & 토마스 보울리  Domaine Jean Marc & Thomas Bouley,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뽀마르(Pommard),피노 누아 (Pinot Noir),Burgundy Côte de Beaune Red,"점토 토양에서 자란 포도로 만들어지며, 포도 나무의 평균 수령은 39년",오픈 통에서 약 3주간 발효하고 이후 오크통에서 20개월간 숙성,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 구운 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,2/5,초콜릿,,,
