포도품종,설명,당도,산도,바디,타닌,아로마,추천 음식
모스카토Moscato,모스카토( Moscato)는 이탈리아어로 화이트 품종 뮈스까( Muscat)를 의미한다. 이탈리아 북서부 지역의 아스티 지방에서 생산되는 스파클링 와인은 모스카토 다스티 (Moscato d'Asti) 라 부른다. 모스카토는 토양적인 무스크 향에서 기인된 이름이다.,2/5,2/5,3/5,1/5,"살구, 꿀, 인동덩굴, 레몬, 리치, 복 숭아, 배, 모과, 익은 멜론, 바닐라빈","블루 치즈, 인도 음식, 스파이시한 요리, 애플 파이, 바닐라 아이스크림"
글레라Glera,"글레라(Glera)는 이탈리아 화이트 품종이다. 이 품종은 슬로베니아에서 유래했으며, 2009년부터 그 동안 프로세코(Prosecco)로 불리던 품종의 이름을 공식적으로 대체하게 됐다. 글레라는 주로 이탈리아의 베네토(Veneto)지역에서 자라며, 전통적으로 코넬리아노(Conegliano)와 발도비아데네(Valdobbiadene)지역에서 최상의 모습을 보인다. 와인은 청사과 풍미를 지니며, 스파클링 와인 생산에 적합하다.",2/5,4/5,1/5,1/5,"흰 복숭아, 레몬, 배, 사과","리치, 구운 연어, 세이지 링귀네"
브라케토Brachetto,"브라케토(Brachetto)는 이탈리아 아키(Acqui)지역에서 재배되는 레드 품종이다. 이 품종은 드라이한 일반 와인부터 달콤한 스파클링 와인까지 다양한 스타일로 양조된다. 와인이 색이 매우 고우며, 야생 딸기향을 진하게 낸다. 이탈리아 피에몬테 아키(Acqui)지역에서 이 품종으로 만든 와인은 DOC등급이다.",0/5,3/5,2/5,0/5,"야생 딸기, 레드 라즈베리, 장미 꽃잎","비텔로 토나토, 헤이즐넛 초콜렛 타르트, 신선한 베리류"
카베르네 소비뇽Cabernet Sauvignon,"카베르네 소비뇽(Cabernet Sauvignon)은 거의 모든 와인생산국에서 재배되는 레드 품종이다. 유전자 분석에 따르면, 카베르네 프랑(Cabernet Franc)과 소비뇽 블랑(Sauvignon Blanc)의 접합종이다. 카베르네 소비뇽은 거의 전세계 와인산지에서 재배되며, 와인은 기후, 토양, 와인 양조방식에 따라 제각기 다른 맛을 낸다.",2/5,3/5,5/5,5/5,"블랙 체리, 블랙 커런트, 레드 파프리카, 베이킹 향신료, 삼나무","스테이크, 비프 립, 구운 양고기, 블루 치즈"
메를로Merlot,"메를로(Merlot)는 프랑스 레드 품종이다. 메를로라는 이름은 '티티새(Merle)'의 프랑스어에서 유래했다. 유전자 분석에 따르면, 메를로는 카베르네 프랑(Cabernet Franc)과 마그들렌 데 샤랑트(Magdelaine des Charente)의 접합종이다. 메를로는 1784년 프랑스 보르도 우안 리부르네스(Libournais)에서 재배되었다는 최초의 기록을 찾을 수 있으며, 당시엔 지역명으로 포르보(Faurveau)로 불렸다. 이후 19세기 중반 메를로가 보르도 좌안에 심겨졌고, 카베르네 소비뇽과 블렌딩되기 시작했다고 알려져 있다. 당시 메를로는 보르도와 이탈리아에서도 언급되는 걸로 보아 비슷한 시기 전파됐다는 짐작이 가능하다. 최상급 메를로는 보르도 우안 뽀므롤(Pomerol)와 생 테밀리옹(St. Émilion)에서 찾을 수 있다. 보르도 우안은 보르도 좌안보다 따뜻한 기후를 지녀 메를로 품종의 와인은 보다 농축된 풍미를 갖는다. 여기서 주의할 점은 보르도 우안의 기후가 따뜻하지만, 그 토양은 차고 축축한 점토가 대부분이라 땅은 따뜻하지 않다는 점이다. 메를로는 싹이 일찍 나오기 때문에 자칫하면 냉해를 입을 수 있고, 껍질도 얇아 포도알이 쉽게 썩는 문제도 있다. 일반적인 경우 메를로는 카베르네 소비뇽보다 2주 정도 먼저 익어 수확할 수 있다. 프랑스를 제외하고 뉴질랜드의 거의 전지역, 이탈리아 북부, 미국, 캐나다, 호주, 남아공, 칠레 등지에서 잘 자란다. 메를로는 상당히 광범위한 향과 맛을 낸다. 기후와 토양에 따라 메를로는 가볍고 즙이 많은 피노누아같기도 하고, 카베르네 소비뇽을 능가하는 힘과 무게를 지닌 와인이 되기도 한다. 최상의 모습을 보이는 메를로는 실키한 탄닌과 딸기, 라즈베리, 검은 체리, 블랙 커런트, 자두, 무화과와 말린 자두 같은 풍미를 지닌다. 입에서는 스파이스, 계피, 클로브 및 삼나무, 송로버섯, 담배, 감초, 구운 견과류 향 등 매우 복합적인 풍미를 보인다. 과잉 생산된 메를로는 민트와 허브 향을 내며 매우 묽은 편이다. 메를로는 전체적으로 부드럽고 둥근 느낌을 주는 레드 와인으로 음식 없이 와인만으로 즐길 수 있으며, 음식과의 매칭에서 상당히 다재다능한 와인이다. 허브를 넣은 테린(Terrine), 파테(Pâtés), 오리 등과 잘 어울리며, 한식 요리 중 매운 음식에도 잘 맞는다. 다른 아시아 향신료에도 무난한 조화를 보인다. 최상급 메를로의 경우 9~12년 사이 시음 절정기에 이르르며 수십 년의 장기 숙선 잠재력을 지닌다.",2/5,3/5,2/5,3/5,"라즈베리, 블랙 체리, 단 자두, 초콜릿, 삼나무","토마토 파스타, 치즈 버거, 칠면조 요리, 파니니, 퀘사디아"
시라/쉬라즈Syrah/Shiraz,"시라(Syrah)는 프랑스 남부 레드 품종이다. 유전자 분석에 따르면, 시라는 두레자(Dureza)와 몽두즈 블랑(Mondeuse Blanc)의 접합종이다. 시라는 프랑스 론 밸리(Rhône Valley) 북부에서 주로 재배되며, 호주에서는 쉬라즈(Shiraz)로 부른다. 시라는 검은 과실, 꽃 향이 강렬하며, 후추와 허브 향을 드러낸다. 경우에 따라, 시라 와인에서 블랙커런트와 감초, 훈연향을 느낄 수 있다.",1/5,3/5,4/5,5/5,"블루베리, 자두, 밀크 초콜릿, 담배, 그린 페퍼콘","구운 양고기, 베이컨, 라즈베리 소스를 곁들인 돼지고기 안심살, 미트로프, 타진"
카르메네르Carmenere,"카르메네르(Carmenere)는 칠레 레드 품종이다. 이 품종은 과거 칠레에서 메를로(merlot)로 잘못 알려졌던 품종으로 1994년 포도 품종학자 장 미셀 부르시코(Jean Michel Boursiqout)가 칠레를 방문해 유럽의 필록세라 대재앙 전에 칠레에 전해진 카르메네르라는 품종임을 확인했다. 카르메네르는 잎 가장 자리가 붉은 빛은 띤다. 토양과 기후가 잘 맞지 않으면, 이 품종은 피망향이 과하고 과잉 생산되며, 풍미가 묽은 와인이 된다. 하지만, 잘 만들어진 카르메네르는 검은 열매, 자두, 스파이스 풍미가 풍부하며, 둥글고 부드러운 탄닌을 지닌다. 달콤하며 감칠맛이 도는 과실 풍미가 입 안을 꽉 채워주며, 질감이 아름다운 와인으로 음식과 아주 잘 어울리는 와인이 된다.",3/5,3/5,3/5,0/5,"라즈베리, 그린 파프리카, 블랙 자두, 블랙베리, 바닐라","구운 돼지고기, 비프 스튜, 모짜렐라"
블렌드Blend,여러 품종 혹은 재료들과 혼합한 경우 사용되는 용어,,,,,,
샤르도네Chardonnay,"샤르도네(Chardonnay)는 피노누아(Pinot Noir)와 구애 블랑(Gouais Blanc)의 접합종이다. 샤르도네는 카베르네 소비뇽처럼 다양한 토양과 기후 조건에 적응하며, 다양한 스타일의 와인이 된다. 서늘한 기후 지역인 샤블리, 상파뉴, 태즈매니아에서 자란 샤르도네는 산미가 좋으며, 금속적인 미네랄 풍미를 지닌다. 반대로 지나치게 더운 경우, 샤르도네는 지나치게 무거운 바디와 무게, 낮은 산미를 지니게 된다.",2/5,3/5,4/5,1/5,"노란 사과, 스타푸르트, 파인애플, 버터, 분필","버터나 견과를 이용한 요리, 새우나 게 요리, 가벼운 조개류 음식, 레몬 리조또, 까망베르나 체다 치즈"
소비뇽 블랑Sauvignon Blanc,"소비뇽 블랑(Sauvignon Blanc)은 프랑스 보르도 화이트 품종이다. 소비뇽 블랑은 '야생(Sauvage)'와 '흰(Blanc)'에서 유래했다. 이 품종은 사바냥(Savagnin)품종의 후손으로 추측되고 있다. 소비뇽 블랑은 바삭한 산미에 드라이한 화이트 와인으로 재배되며, 프랑스, 칠레, 캐나다, 뉴질랜드, 오스트리아, 남아공, 워싱턴 주와 캘리포니아에서 주로 재배된다.",2/5,5/5,1/5,1/5,"구즈베리, 그린 멜론, 자몽, 백도, 패션 프루트","허브 소스를 이용한 음식, 두부, 페타 치즈, 염소젖 치즈, 타이 혹은 베트남 음식"
