와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,등급,숙성,양조,스타일
"샤또 데스클랑, 락 엔젤","Chateau d'Esclans, Rock Angel",https://www.wine21.com/13_search/wine_view.html?Idx=166348&lq=LIST,샤또 데스클랑  Chateau d'Esclans,프랑스(France) / 서던 프랑스(Southern France) / 프로방스(Provence),그르나슈 (Grenache) 85% / 롤 (Rolle) 15%,13~14 %,6~8 ℃,"연어, 참치, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 파스타 등과 잘 어울린다.","*2016 빈티지: 2017 Decanter World Wine Awards 금메달*2015 빈티지: Wine Spectator 90점, Wine Enthusiast 89점, James Suckling 91점, Jancis Robinson 16점, Decanter 92점*2014 빈티지: Jancis Robinson 18점",금양인터내셔날,1/5,3/5,3/5,1/5,"딸기, 복숭아, 허브","파스타, 치즈",,,,
"미켈레 끼아를로, 로에로 아르네이스 레 마드리","Michele Chiarlo, Roero Arneis Le Madri",https://www.wine21.com/13_search/wine_view.html?Idx=166349&lq=LIST,미켈레 끼아를로  Michele Chiarlo,이탈리아(Italy) / 피에몬테(Piemonte),아르네이스 (Arneis) 100%,12~13 %,8~10 ℃,"흰 육류, 해산물, 흰 살 생선, 붉은 살 생선, 채소, 부드러운 치즈 등과 잘 어울린다.",,금양인터내셔날,1/5,4/5,4/5,1/5,,"해산물, 채소, 치즈",,,,
"토마시, 포지오 알 투포 마레스코","Tommasi, Poggio al Tufo Maresco",https://www.wine21.com/13_search/wine_view.html?Idx=166350&lq=LIST,토마시  Tommasi,이탈리아(Italy) / 토스카나(Toscana) / 마렘마(Maremma),산지오베제 (Sangiovese) / 카베르네 소비뇽 (Cabernet Sauvignon),13~14 %,15~17 ℃,"육류, 익힌 채소, 치즈 등과 잘 어울린다.",,금양인터내셔날,1/5,3/5,3/5,4/5,"체리, 배, 감초","채소, 치즈",,,,
"토마시, 포지오 알 투포 솔리스","Tommasi, Poggio al Tufo Solis",https://www.wine21.com/13_search/wine_view.html?Idx=166351&lq=LIST,토마시  Tommasi,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 카베르네 소비뇽 (Cabernet Sauvignon),13~14 %,15~17 ℃,"붉은 육류, 흰 육류, 익힌 채소, 부드러운 치즈, 단단한 치즈 등과 잘 어울린다.",,금양인터내셔날,1/5,4/5,3/5,3/5,"체리, 배, 감초","채소, 치즈",,,,
"토마시, 알렐레 로쏘","Tommasi, Arele Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=166352&lq=LIST,토마시  Tommasi,이탈리아(Italy) / 베네토(Veneto),코르비나 (Corvina) / 론디넬라 (Rondinella) / 오세레타 (Oseleta) / 메를로 (Merlot),13~14 %,15~17 ℃,"육류, 익힌 채소, 치즈 등과 잘 어울린다.","*2012 빈티지: Wine Spectator 88점, Wine Enthusiast 87점*2011 빈티지: Wine Spectator 89점*2010 빈티지: Wine & Spirits 87점, Wine Enthusiast 87점",금양인터내셔날,1/5,3/5,3/5,3/5,"체리, 허브, 오크","채소, 치즈",,,,
"토마시, 아도라토 아파시오나토 비앙코","Tommasi, Adorato Appassionato Bianoco",https://www.wine21.com/13_search/wine_view.html?Idx=166353&lq=LIST,토마시  Tommasi,이탈리아(Italy) / 베네토(Veneto),트레비아노 (Trebbiano) / 코르테제 (Cortese),12~13 %,8~10 ℃,"생선회, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,금양인터내셔날,1/5,3/5,2/5,1/5,"아몬드, 꿀",,,,,
"토마시, 그라티시오 아파시오나토 로쏘","Tommasi, Graticcio Appassionato Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=166354&lq=LIST,토마시  Tommasi,이탈리아(Italy) / 베네토(Veneto),코르비나 (Corvina) / 론디넬라 (Rondinella),13~14 %,15~17 ℃,"붉은육류, 스테이크, 그릴요리, 스튜, 양고기, 숙성 치즈, 라자냐, 파스타와 잘 어울린다.",*2019 대한민국 주류대상 구대륙 레드 와인 대상,금양인터내셔날,2/5,3/5,5/5,4/5,,"양고기, 치즈",,,,
"파소피시아로, 콘트라다 포르카리아","Passopisiaro, Contrada Porcaria",https://www.wine21.com/13_search/wine_view.html?Idx=166355&lq=LIST,파소피시아로  Passopisciaro,이탈리아(Italy) / 시칠리아(Sicilia),네렐로 마스칼레제 (Nerello Mascalese) 100%,14~15 %,15~17 ℃,"붉은 육류, 흰 육류, 익힌 채소, 치즈 등과 잘 어울린다.","*2015 빈티지: Wine Spectator 94점, Wine Enthusiast 94점*2014 빈티지: Robert Parker 94점, Wine Spectator 92점, Wine Enthusiast 94점",금양인터내셔날,1/5,4/5,2/5,3/5,"체리, 오크","채소, 치즈",,,,
"파소피시아로, 콘트라다 람판테","Passopisiaro, Contrada Rampante",https://www.wine21.com/13_search/wine_view.html?Idx=166356&lq=LIST,파소피시아로  Passopisciaro,이탈리아(Italy) / 시칠리아(Sicilia),네렐로 마스칼레제 (Nerello Mascalese) 100%,13~14 %,15~17 ℃,"붉은 육류, 흰 육류, 익힌 채소, 치즈 등과 잘 어울린다.","*2015 빈티지: Wine Spectator 94점, Wine Enthusiast 94점",금양인터내셔날,1/5,4/5,3/5,3/5,"무화과, 꽃, 미네랄, 후추, 오크","채소, 치즈",,,,
"프레시넷, 노타 모나스트렐 크리안자","Freixenet, Nauta Monastrell Crianza",https://www.wine21.com/13_search/wine_view.html?Idx=166357&lq=LIST,프레시넷  Freixenet,스페인(Spain) / 알리칸테(Alicante),모나스트렐 (Monastrell) 100%,13~14 %,15~17 ℃,"육류, 파스타, 피자 등과 잘 어울린다.",,금양인터내셔날,1/5,3/5,3/5,3/5,"배, 바닐라, 코코넛",,,,,
