와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,등급,알코올,기타정보,숙성,양조
"칸티, 모스카토 다스티","Canti, Moscato d'Asti",https://www.wine21.com/13_search/wine_view.html?Idx=162132&lq=LIST,칸티  Canti,이탈리아(Italy) / 피에몬테(Piemonte) / 아스티(Asti),모스카토  (Moscato ) 100%,Italian Asti,6~8 ℃,"부드러운 치즈나 소시지 등 간단한 안주, 과일 케이크, 쿠키 등의 디저트, 매콤한 동남아 요리",신세계엘앤비,4/5,2/5,2/5,1/5,,"소시지, 과일, 치즈",,,,,
"칸티, 프로세코 아이스","Canti, Prosecco ICE",https://www.wine21.com/13_search/wine_view.html?Idx=162133&lq=LIST,칸티  Canti,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera) 100%,Italian Prosecco,6~8 ℃,"아페리티프로 즐기거나 담백한 안주, 매콤한 아시안 퀴진 등 다양한 음식과 곁들여 마시기 좋다.",신세계엘앤비,2/5,2/5,3/5,1/5,꽃,아페리티프,Prosecco DOC(DOP),,,,
"칸티, 브라케토 핑크 에디션","Canti, Brachetto Pink Edition",https://www.wine21.com/13_search/wine_view.html?Idx=162134&lq=LIST,칸티  Canti,이탈리아(Italy) / 피에몬테(Piemonte),브라케토 (Brachetto) 100%,Northern Italy Red,7~9 ℃,"신선한 딸기나 과일 케이크, 과일 샐러드, 페스츄리 등의 디저트, 간단한 치즈 안주",신세계엘앤비,4/5,1/5,3/5,2/5,딸기,"샐러드, 치즈",,6 %,,,
칸티 모스카토 다스티 골드 에디션,Canti Moscato d'Asti Gold Edition,https://www.wine21.com/13_search/wine_view.html?Idx=162135&lq=LIST,칸티  Canti,이탈리아(Italy) / 피에몬테(Piemonte) / 아스티(Asti),모스카토  (Moscato ) 100%,Italian Asti,6~8 ℃,"부드러운 치즈나 소시지 등 간단한 안주, 과일 케이크, 쿠키 등의 디저트 혹은 매콤한 동남아 요리",신세계엘앤비,4/5,2/5,2/5,1/5,꿀,"소시지, 과일, 치즈",,,,,
"케익브레드, 댄싱 베어 랜치","Cakebread, Dancing Bear Ranch",https://www.wine21.com/13_search/wine_view.html?Idx=162136&lq=LIST,케익브레드 셀라  Cakebread Cellar,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 하월 마운틴(Howell Mountain),카베르네 소비뇽 (Cabernet Sauvignon) 95% / 메를로 (Merlot) 5%,Californian Bordeaux Blend,16~18 ℃,"양갈비 구이, 쇠고기 스튜, 뉴욕 스테이크",신세계엘앤비,1/5,4/5,5/5,5/5,,양갈비,Howell Mountain AVA,,*2012: Robert Parker 99점,,
"탑 와인메이커스, 3 엑시스 시라","Top Winemakers, 3 Axis Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=162137&lq=LIST,탑 와인메이커스  Top Winemakers,칠레(Chile) / 코킴보(Coquimbo) / 리마리 밸리(Limari Valley),시라/쉬라즈 (Syrah/Shiraz),Chilean Syrah,16~18 ℃,"갈비구이, 바비큐, 버섯을 곁들인 스테이크, 오리훈제, 소시지구이, 피자",신세계엘앤비,1/5,3/5,5/5,4/5,"꽃, 미네랄, 후추, 오크","스테이크, 피자, 버섯",,,,,
"탑 와인메이커스, 3 엑시스 까르메네르","Top Winemakers, 3 Axis Carmenere",https://www.wine21.com/13_search/wine_view.html?Idx=162138&lq=LIST,탑 와인메이커스  Top Winemakers,칠레(Chile) / 마이포 밸리(Maipo Valley),카르메네르 (Carmenere),Chilean Carménère,16~18 ℃,"풍미가 진한 소스를 곁들인 육류요리, 매콤한 후추 스테이크",신세계엘앤비,1/5,3/5,4/5,4/5,"허브, 오크",,,,,,
"탑 와인메이커스, 3 엑시스 까베르네 소비뇽","Top Winemakers, 3 Axis Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=162139&lq=LIST,탑 와인메이커스  Top Winemakers,칠레(Chile) / 마이포 밸리(Maipo Valley),카베르네 소비뇽 (Cabernet Sauvignon),Chilean Cabernet Sauvignon,17~19 ℃,"스테이크, 갈비구이 등 다양한 붉은 육류요리, 신선한 치즈, 피자",신세계엘앤비,1/5,3/5,5/5,5/5,오크,"피자, 치즈",,,,,
"탑 와인메이커스, 50 배럴 까르메네르","Top Winemakers, 50 Barrels Carmenere",https://www.wine21.com/13_search/wine_view.html?Idx=162140&lq=LIST,탑 와인메이커스  Top Winemakers,칠레(Chile),카르메네르 (Carmenere) 100%,Chilean Carménère,16~18 ℃,"붉은 육류, 치즈, 파스타",신세계엘앤비,1/5,3/5,4/5,4/5,"배, 허브, 오크","파스타, 치즈",,,*2012: Korea Wine Challenge 2016 금메달,,
"폰세카, 타우니 포트","Fonseca, Tawny Port",https://www.wine21.com/13_search/wine_view.html?Idx=162141&lq=LIST,폰세카  Fonseca,포르투갈(Portugal) / 도우루(Douro),블렌드 (Blend ),Portuguese Port,16~18 ℃,"살짝 칠링해 디저트 와인으로 마시거나 볶은 아몬드, 각종 베리, 다크 초콜릿, 블루 치즈와 곁들이면 잘 어울린다.",신세계엘앤비,5/5,1/5,4/5,2/5,잼,치즈,,,,,
