와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,양조,숙성,음용온도,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,알코올,추천음식
"샴페인 미쉘 주네, 비비 나뛰르 그랑 크뤼","Champagne Michel Genet, BB Nature Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=173954&lq=LIST,샴페인 미쉘 주네  Champagne Michel Genet,프랑스(France) / 샹빠뉴(Champagne) / 꼬뜨 데 블랑(Côte des Blancs),샤르도네 (Chardonnay),French Champagne,Champagne AOC(AOP),"포도 생산 구획 별로 수확, 분류하여 1차 발효.","약간의 효모와 설탕 추가 후 2차 발효 및 15개월 숙성. 효모 제거, 주스와 설탕 추가 및 병입 후 출시.",10~12 ℃,* Non Vintage - Concours d'Epernay des Champagnes 2017 : Gold* Non Vintage - Decanter 2020 : Silver* 슈이(Chouilly)는 100% 그랑 크뤼를 생산하는 샴페인 마을임.,비노에이치,1/5,5/5,3/5,1/5,"자몽, 감귤, 레몬, 제비꽃, 흰꽃, 미네랄, 밀싹, 감초, 레몬그라스, 헤이즐넛, 아몬드, 버터","바비큐, 건육, 후라이드, 오리로스, 생선구이, 생선찜, 초밥, 생선회, 해산물, 게살, 랍스터, 편육, 비빔밥, 수육, 오일파스타, 중국요리, 탕수육, 아시아요리, 아스파라거스, 루꼴라, 치즈, 리코타, 크림치즈, 콩테",,
"샴페인 미쉘 주네, 오더 그랑 크뤼","Champagne Michel Genet, Author Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=173955&lq=LIST,샴페인 미쉘 주네  Champagne Michel Genet,프랑스(France) / 샹빠뉴(Champagne) / 꼬뜨 데 블랑(Côte des Blancs),샤르도네 (Chardonnay),French Champagne,Champagne AOC(AOP),40년 이상 된 올드 바인을 재배하는 탑 뀌베인 레 파르트렌(Les Partelaines)와 몽떼규(Montaigu)에서 엄격히 선별된 포도만으로 양조.,총 7년 숙성 후 출시.,10~12 ℃,* Non Vintage - Concours des Vins ELLE a table: Gold* 샴페인 미쉘 주네의 특출난 빈티지 블랑 드 블랑 그랑 크뤼 샴페인으로 진정한 장인의 작품의 아이콘 샴페인.* 슈이(Chouilly)는 100% 그랑 크뤼를 생산하는 샴페인 마을.,비노에이치,1/5,5/5,3/5,1/5,"자몽, 오렌지, 열대과일, 꽃, 정향, 감초, 우롱차, 홍차, 페이스트리, 브리오슈, 아몬드","바비큐, 오리고기, 오리로스, 치킨, 생선구이, 생선찜, 해산물, 게살, 편육, 만두, 오일파스타, 중국요리, 아스파라거스, 루꼴라, 치즈, 리코타, 모짜렐라",,
"브루노 라퐁, 르 쁘띠 샤도 드 브루노 라퐁","Bruno Lafon, Le P'tit Chardo de Bruno Lafon",https://www.wine21.com/13_search/wine_view.html?Idx=173956&lq=LIST,브루노 라퐁  Bruno Lafon,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),샤르도네 (Chardonnay),,,신선한 산미 유지를 위해 저녁 시간대에 수확을 하고 스테인리스 스틸 탱크에서 저온 발효로 후 병입,,8~10 ℃,"* 도멘 꼬쉬 듀리(Domaine Coche Dury), 도멘 르플레이(Domaine Leflaive)와 더불어 3대 화이트 TOP 생산자이자, 앙리 자이에 선정 차세대 TOP 생산자인 도멘 데 콩트 라퐁(Domaine des Comtes Lafon) 오너 패밀리인 브루노 라퐁(Bruno Lafon)이 생산한 가성비 좋은 데일리 와인.",비노에이치,1/5,3/5,3/5,1/5,"복숭아, 서양배, 시트러스, 파인애플, 아몬드","양념치킨, 닭강정, 후라이드, 닭고기, 오리로스, 생선구이, 흰살생선, 해산물, 편육, 부각, 만두, 비빔밥, 물냉면, 오일파스타, 중국요리, 탕수육, 아시아요리, 야채, 샐러드, 루꼴라, 견과류, 리코타",,
"브루노 라퐁, 르 쁘띠 로제 드 브루노 라퐁","Bruno Lafon, Le P'tit Rose de Bruno Lafon",https://www.wine21.com/13_search/wine_view.html?Idx=173957&lq=LIST,브루노 라퐁  Bruno Lafon,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),쌩쏘 (Cinsault) / 그르나슈 (Grenache),,,저온에서 직접 빠르게 압착 및 줄기 제거. 세심한 온도 제어 가능한 스테인리스 스틸 탱크에서 전통적 방법으로 양조 후 병입.,,8~10 ℃,,비노에이치,1/5,3/5,3/5,2/5,"살구, 복숭아, 시트러스, 꽃, 미네랄","베이컨, 꼬치구이, 바비큐, 건육, 양념치킨, 닭강정, 후라이드, 오리로스, 초밥, 생선회, 해산물, 편육, 순대, 떡볶이, 오일파스타, 중국요리, 동남아요리, 아시아요리, 튀김, 샐러드, 치즈, 리코타, 모짜렐라",,
"브루노 라퐁, 르 쁘띠 피노 드 브루노 라퐁","Bruno Lafon, Le P'tit Pinot de Bruno Lafon",https://www.wine21.com/13_search/wine_view.html?Idx=173958&lq=LIST,브루노 라퐁  Bruno Lafon,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),피노 누아 (Pinot Noir),,,저온 발효로 스테인리스 스틸 탱크에서 전통적 방법으로 양조합니다. 발효 후 2~4주 동안 침용 후 병입.,,14~16 ℃,,비노에이치,1/5,3/5,2/5,2/5,"체리, 크랜베리, 라스베리, 붉은꽃, 허브","로스트비프, 까르파치오, 베이컨, 바비큐, 소시지, 양꼬치, 건육, 닭강정, 훈제오리, 찜닭, 해산물, 게살, 불고기, 족발, 편육, 순대, 수육, 오일파스타, 크림파스타, 버섯, 파르미지아노, 고다, 그라노파다노, 에푸아쓰, 모짜렐라",,
"헤르다데 파코 도 콘데, 알리칸테 부셰","Herdade Paco do Conde, Alicante Bouschet",https://www.wine21.com/13_search/wine_view.html?Idx=173959&lq=LIST,헤르다데 파코 도 콘데  Herdade Paco do Conde [B2B],포르투갈(Portugal) / 알렌테주(Alentejo),알리칸테 부쉐 (Alicante Bouschet),,,,,16~18 ℃,,,1/5,3/5,3/5,3/5,"라스베리, 자두, 후추","소고기, 돼지고기, 꽁피, 자두",14~15 %,
"헤르다데 파코 도 콘데, 레드","Herdade Paco do Conde, Red",https://www.wine21.com/13_search/wine_view.html?Idx=173960&lq=LIST,헤르다데 파코 도 콘데  Herdade Paco do Conde [B2B],포르투갈(Portugal) / 알렌테주(Alentejo),아라고네즈 (Aragonez) / 시라/쉬라즈 (Syrah/Shiraz) / 알리칸테 부쉐 (Alicante Bouschet) / 투리가 나시오날 (Touriga Nacional),,,,,16~18 ℃,,,1/5,3/5,4/5,4/5,"블랙체리, 말린과일, 후추, 오크","소고기, 포크, 오리고기, 갈비찜",14~15 %,
"헤르다데 파코 도 콘데, 레세르바","Herdade Paco do Conde, Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=173961&lq=LIST,헤르다데 파코 도 콘데  Herdade Paco do Conde [B2B],포르투갈(Portugal) / 알렌테주(Alentejo),시라/쉬라즈 (Syrah/Shiraz) / 알리칸테 부쉐 (Alicante Bouschet) / 투리가 나시오날 (Touriga Nacional),,,,,16~18 ℃,,,1/5,3/5,4/5,3/5,"블랙체리, 자두, 후추, 오크","돼지고기, 육포, 닭고기, 자두",15~16 %,
"헤르다데 파코 도 콘데, 레세르바 화이트","Herdade Paco do Conde, Reserva White",https://www.wine21.com/13_search/wine_view.html?Idx=173962&lq=LIST,헤르다데 파코 도 콘데  Herdade Paco do Conde [B2B],포르투갈(Portugal) / 알렌테주(Alentejo),안타웅 바즈 (Antao Vaz),,,,,8~10 ℃,,,1/5,3/5,2/5,1/5,"살구, 복숭아, 바닐라, 버터","닭고기, 흰살생선, 해산물, 동그랑땡",13~14 %,
"헤르다데 파코 도 콘데, 로제","Herdade Paco do Conde, Rose",https://www.wine21.com/13_search/wine_view.html?Idx=173963&lq=LIST,헤르다데 파코 도 콘데  Herdade Paco do Conde [B2B],포르투갈(Portugal) / 알렌테주(Alentejo),아라고네즈 (Aragonez) / 투리가 나시오날 (Touriga Nacional),,,,,12~14 ℃,,,1/5,3/5,2/5,2/5,"체리, 라스베리, 빌베리, 미네랄","안심, 하몽, 닭고기, 한식",12~13 %,
