와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,등급,알코올,숙성,양조
"대쉬 보쉬, 스틴","Dasch Bosch, Steen",https://www.wine21.com/13_search/wine_view.html?Idx=165295&lq=LIST,대쉬 보쉬  Dasch Bosch,남아프리카(South Africa),슈냉 블랑 (Chenin Blanc) 100%,South African Chenin Blanc,8~10 ℃,"크림을 사용한 치킨 요리, 해산물 요리 등과 잘 어울린다.",신세계엘앤비,1/5,4/5,1/5,1/5,"라임, 멜론, 효모","치킨, 해산물",,,,,
"대쉬 보쉬, 케이프 블랜드","Dasch Bosch, Cape Blend",https://www.wine21.com/13_search/wine_view.html?Idx=165296&lq=LIST,대쉬 보쉬  Dasch Bosch,남아프리카(South Africa),피노타주 (Pinotage) / 쁘띠 베르도 (Petit Verdot) / 카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 시라  (Petite Sirah),South African Pinotage Blend,15~17 ℃,"소고기와 양고기, 사슴고기 등 붉은색을 띤 육류 등과 잘 어울린다.",신세계엘앤비,1/5,2/5,4/5,3/5,배,"소고기, 양고기",,,,,
"대쉬 보쉬, 까베르네 소비뇽","Dasch Bosch, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=165297&lq=LIST,대쉬 보쉬  Dasch Bosch,남아프리카(South Africa),카베르네 소비뇽 (Cabernet Sauvignon) 100%,South African Cabernet Sauvignon,15~17 ℃,레드 커런트 젤리를 곁들인 로스팅한 사슴고기 등과 잘 어울린다.,신세계엘앤비,1/5,2/5,4/5,4/5,시가박스,,,,,,
"대쉬 보쉬, 메를로","Dasch Bosch, Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=165298&lq=LIST,대쉬 보쉬  Dasch Bosch,남아프리카(South Africa),메를로 (Merlot) 100%,,15~17 ℃,송아지 고기로 만든 카넬로니 등과 잘 어울린다.,신세계엘앤비,1/5,1/5,4/5,4/5,"배, 오크",송아지,,,,,
"톨라이니, 발디산티 토스카나","Tolaini, Valdisanti Toscana",https://www.wine21.com/13_search/wine_view.html?Idx=165299&lq=LIST,톨라이니  Tolaini,이탈리아(Italy) / 토스카나(Toscana),카베르네 소비뇽 (Cabernet Sauvignon) 50% / 카베르네 프랑 (Cabernet Franc) 50%,Central Italy Red,15~17 ℃,소고기 등심 스테이크 등과 잘 어울린다.,신세계엘앤비,1/5,2/5,5/5,5/5,"배, 오크",,"*2014 빈티지: Wine Advocate 91점, James Suckling 92점, Wine Spectator 93점, AG Vinous 91점*2012 빈티지: Wine Advocate 92점, James Suckling 92점, AG Vinous 90점",,,,
"톨라이니, 키안티 클라시코 발레누오바","Tolaini, Chianti Classico Vallenuova",https://www.wine21.com/13_search/wine_view.html?Idx=165300&lq=LIST,톨라이니  Tolaini,이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese) 95% / 카나이올로 (Canaiolo) 5%,,16~18 ℃,"붉은 육류 요리, 가금류 요리 등과 잘 어울린다.",신세계엘앤비,1/5,4/5,3/5,3/5,,가금류,"*2016 빈티지: Wine Advocate 91점*2015 빈티지: James Suckling 91점, Wine Spectator 93점",Chianti Classico DOCG(DOP),13~14 %,,
"톨라이니, 키안티 클라시코 그란 셀렉지오네 비냐 몬테벨로 세테","Tolaini, Chianti Classico Gran Seleczione Vigna Montebello Sette",https://www.wine21.com/13_search/wine_view.html?Idx=165301&lq=LIST,톨라이니  Tolaini,이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese) 100%,,16~18 ℃,"붉은 육류 요리, 가금류 요리 등과 잘 어울린다.",신세계엘앤비,1/5,4/5,4/5,4/5,,가금류,"*2014 빈티지: Wine Advocate 93점, James Suckling 91점*2013 빈티지: Wine Advocate 91+점, James Suckling 93점, Wine Spectator 93점",Chianti Classico DOCG(DOP),14~15 %,,
"톨라이니, 알 파쏘 토스카나","Tolaini, Al Passo Toscana",https://www.wine21.com/13_search/wine_view.html?Idx=165302&lq=LIST,톨라이니  Tolaini,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) 34% / 메를로 (Merlot) 33% / 카베르네 소비뇽 (Cabernet Sauvignon) 33%,Central Italy Red,15~17 ℃,베리류 소스를 곁들인 가금류 요리 등과 잘 어울린다.,신세계엘앤비,1/5,3/5,3/5,3/5,"배, 오크, 효모",가금류,"*2015 빈티지: Wine Advocate 93+점, James Suckling 93점, Wine Spectator 91점*2014 빈티지: James Suckling 91점, Gambero Rosso 3 Glasses",,,,
"톨라이니, 피코네로 토스카나","Tolaini, Picconero Toscana",https://www.wine21.com/13_search/wine_view.html?Idx=165303&lq=LIST,톨라이니  Tolaini,이탈리아(Italy) / 토스카나(Toscana),메를로 (Merlot) 100%,Central Italy Red,15~17 ℃,소고기 등심 스테이크 등과 잘 어울린다.,신세계엘앤비,1/5,2/5,5/5,5/5,오크,,"*2012 빈티지: AG Vinous 92점*2011 빈티지: Wine Advocate 93점, James Suckling 93점, Wine Spectator 93점*2010 빈티지: Gamber Rosso 3 Glasses",,,,
"스톰핑 걸, 샤도네이 하이드 빈야드","Stomping Girl, Chardonnay Hyde Vineyard",https://www.wine21.com/13_search/wine_view.html?Idx=165304&lq=LIST,스톰핑 걸 와인즈  Stomping Girl Wines,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),샤르도네 (Chardonnay) 100%,Californian Chardonnay,11~13 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,1/5,3/5,4/5,1/5,"시트러스, 미네랄","바비큐, 수육, 탕수육, 치즈",,Napa Valley AVA,14~15 %,,
