와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,음용온도,추천음식,당도,산도,바디,타닌,아로마,음식매칭,등급,기타정보,수입사,스타일,알코올,숙성,양조
"샤또 펠랑 세귀르, 라 크록스 보니스","Chateau Phelan segur, La Croix Bonis",https://www.wine21.com/13_search/wine_view.html?Idx=172909&lq=LIST,샤또 펠랑 세귀르  Chateau Phelan segur,프랑스(France) / 보르도(Bordeaux) / 생-떼스테프(Saint Estephe),메를로 (Merlot) 50% / 카베르네 소비뇽 (Cabernet Sauvignon) 50%,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈 등과 잘 어울린다.",1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 체리, 자두, 육두구, 바닐라, 정향, 오크, 동물, 가죽","로스트비프, 소고기, 스테이크, 양갈비, 양고기, 건육, 살라미, 불고기, 양념갈비, 갈비찜, 한식, 라자냐, 리조토, 햄버거, 서양요리, 중국요리, 난자완스, 자두, 과일, 견과류, 아몬트, 치즈, 브리, 그라노파다노, 페타, 블루치즈, 꽁떼",,,,,,,
"허쉬 빈야드, 블록 8 피노 누아","Hirsch Vineyards, Block 8 Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=172910&lq=LIST,허쉬 빈야드  Hirsch Vineyards,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),피노 누아 (Pinot Noir) 100%,14~16 ℃,"가금류, 스테이크, 치즈 등과 잘 어울린다.",1/5,4/5,4/5,2/5,"체리, 딸기, 제비꽃, 삼나무, 오크, 버섯, 흙","스테이크, 닭고기, 치즈",Sonoma Coast AVA,* 2021 빈티지 - Jeb Dunnuck 98+점,씨에스알와인,,,,
"허쉬 빈야드, 웨스트 릿지 피노 누아","Hirsch Vineyards, West Ridge Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=172911&lq=LIST,허쉬 빈야드  Hirsch Vineyards,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),피노 누아 (Pinot Noir) 100%,14~16 ℃,"스테이크, 닭 요리, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"체리, 딸기, 삼나무, 오크, 버섯, 흙","스테이크, 닭고기, 치즈",Sonoma Coast AVA,,씨에스알와인,,,,
"허쉬 빈야드, 보한 딜런 피노 누아","Hirsch Vineyards, Bohan Dilon Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=172912&lq=LIST,허쉬 빈야드  Hirsch Vineyards,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),피노 누아 (Pinot Noir) 100%,14~16 ℃,"육류요리, 닭고기, 오리고기, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"체리, 딸기, 라스베리, 삼나무, 오크, 버섯, 흙","육류요리, 오리고기, 닭고기, 치즈",Sonoma Coast AVA,,씨에스알와인,,,,
"허쉬 빈야드, 에스테이트 샤도네이","Hirsch Vineyards, Estate Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=172913&lq=LIST,허쉬 빈야드  Hirsch Vineyards,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),샤르도네 (Chardonnay) 100%,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"복숭아, 사과, 열대과일, 흰꽃, 미네랄","베이컨, 바비큐, 훈제오리, 오리로스, 치킨, 연어, 장어구이, 해산물, 새우, 피자, 탕수육, 튀김, 복숭아, 치즈, 크림치즈",Sonoma Coast AVA,,씨에스알와인,,,,
"켄 라이트 셀러즈, 얌힐 칼튼 피노 누아","Ken Wright Cellars, Yamhill-Carlton Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=172914&lq=LIST,켄 라이트 셀라즈  Ken Wright Cellars,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley),피노 누아 (Pinot Noir),14~16 ℃,,1/5,3/5,3/5,3/5,"블루베리, 라스베리, 체리, 붉은꽃, 장미",,,,와인투유코리아,Oregon Pinot Noir,13~14 %,,
"털리 와인 셀러, 하이네 쁘띠 시라","Turley Wine Cellars, Hayne Petite Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=172916&lq=LIST,털리 와인 셀러  Turley Wine Cellars,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),쁘띠 쉬라 (Petit Syrah),16~18 ℃,"스테이크, 그릴요리, 양고기, 양갈비, 파스타, 다양한 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"구즈베리, 체리, 딸기, 말린과일, 초콜릿","그릴요리, 소고기, 스테이크, 바비큐, 삼겹살, 양갈비, 양고기, 건육, 불고기, 갈비찜, 족발, 한식, 파스타, 서양요리, 중국요리, 난자완스, 치즈, 그라노파다노, 고르곤졸라",Napa Valley AVA,,씨에스알와인,,,,
샤토 뷰 포타나,Chateau Vieux Potana,https://www.wine21.com/13_search/wine_view.html?Idx=172917&lq=LIST,샤토 뷰 포타나  Chateau Vieux Potana,프랑스(France) / 보르도(Bordeaux) / 라랑드 드 뽀므롤(Lalande de Pomerol),메를로 (Merlot) 85% / 카베르네 프랑 (Cabernet Franc) 15%,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 바비큐, 훈제오리, 피자, 햄버거, 파스타, 한국음식 등과 잘 어울린다.",1/5,3/5,3/5,3/5,"블랙베리, 체리, 자두, 감초, 삼나무, 오크, 버섯","로스트비프, 소고기, 스테이크, 양갈비, 양고기, 건육, 불고기, 양념갈비, 갈비찜, 동그랑땡, 한식, 파스타, 리조토, 서양요리, 자두, 치즈, 브리, 까망베르, 블루치즈, 콩테, 모짜렐라",,,,,,,
"털리 와인 셀러, 페센티 빈야드 진판델","Turley Wine Cellars, Pesenti Vineyard Zinfandel",https://www.wine21.com/13_search/wine_view.html?Idx=172918&lq=LIST,털리 와인 셀러  Turley Wine Cellars,미국(U.S.A) / 캘리포니아(California) / 샌 루이스 오비스포 카운티(San Luis Obispo County) / 파소 로블스(Paso Robles),진판델 (Zinfandel),16~18 ℃,"소고기, 스테이크, 닭고기, 치즈 등과 잘 어울린다.",1/5,3/5,4/5,1/5,"레드커런트, 크랜베리, 삼나무, 오크","스튜, 소고기, 닭고기, 치즈",Paso Robles AVA,,씨에스알와인,Californian Zinfandel,,,
샤토 레 렘파츠 드 비롤,Chateau Les Remparts de Birol,https://www.wine21.com/13_search/wine_view.html?Idx=172919&lq=LIST,샤토 레 렘파츠 드 비롤  Chateau Les Remparts de Birol,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) 100%,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 바비큐, 훈제오리, 피자, 햄버거, 파스타, 한국음식 등과 잘 어울린다.",1/5,3/5,3/5,3/5,"블랙베리, 체리, 블루베리, 자두, 삼나무, 오크, 버섯","로스트비프, 소고기, 스테이크, 양갈비, 양고기, 건육, 살라미, 하몽, 양념갈비, 갈비찜, 한식, 파스타, 리조토, 서양요리, 치즈, 브리, 까망베르, 로크포르, 꽁떼, 콩테",,,씨에스알와인,,,,
