와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,알코올,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,등급,기타정보,숙성,양조
몬테스 알파 블랙 라벨 피노 누아,Montes Alpha Black Label Pinot Noir,https://www.wine21.com/13_search/wine_view.html?Idx=163172&lq=LIST,몬테스  Montes [Viña Montes],칠레(Chile) / 아콩카구아(Aconcagua) / 아콩카구아 밸리(Aconcagua Valley),피노 누아 (Pinot Noir) 100%,Chilean Pinot Noir,14~15 %,14~16 ℃,"붉은 육류, 까망베르 치즈, 머쉬룸 리조또 등과 잘 어울린다.",나라셀라,1/5,3/5,4/5,3/5,"감초, 오크",리조또,,,,
몬테스 알파 블랙 라벨 소비뇽 블랑,Montes Alpha Black Label Sauvignon Blanc,https://www.wine21.com/13_search/wine_view.html?Idx=163173&lq=LIST,몬테스  Montes [Viña Montes],칠레(Chile) / 아콩카구아(Aconcagua) / 레이다 밸리(Leyda Valley),소비뇽 블랑 (Sauvignon Blanc) 100%,Chilean Sauvignon Blanc,13.5~14.5 %,10~12 ℃,"그릴드 쉬림프, 조개요리, 염소 치즈 등과 잘 어울린다.",나라셀라,1/5,4/5,3/5,1/5,꽃,치즈,,,,
"마르께스 데 톨레도, 그란 리제르바","Marques de Toledo, Grand Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=163174&lq=LIST,보데가스 로자노  Bodegas Lozano,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo) 80% / 카베르네 소비뇽 (Cabernet Sauvignon) 20%,Spanish Red,13 %,16~18 ℃,"양념을 하지 않은 소고기 및 돼지고기 요리, 하몽 등과 잘 어울린다.",나라셀라,1/5,3/5,3/5,3/5,"체리, 오크","소고기, 하몽",La Mancha DO(DOP),,,
"마르께스 데 톨레도, 리제르바","Marques de Toledo, Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=163175&lq=LIST,보데가스 로자노  Bodegas Lozano,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo) 90% / 카베르네 소비뇽 (Cabernet Sauvignon) 10%,Spanish Red,13 %,16~18 ℃,"소불고기, 돼지 주물럭, 고기 스튜 등과 잘 어울린다.",나라셀라,1/5,3/5,3/5,3/5,"오크, 가죽","스튜, 돼지, 불고기",La Mancha DO(DOP),,,
"마르께스 데 톨레도, 크리안자","Marques de Toledo, Crianza",https://www.wine21.com/13_search/wine_view.html?Idx=163176&lq=LIST,보데가스 로자노  Bodegas Lozano,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo) 100%,Spanish Red,13 %,16~18 ℃,"버섯 요리, BBQ 요리(소고기, 돼지), 빠에야 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,체리,"소고기, 돼지, 버섯",La Mancha DO(DOP),,,
"마르께스 데 톨레도, 베르데호","Marques de Toledo, Verdejo",https://www.wine21.com/13_search/wine_view.html?Idx=163177&lq=LIST,보데가스 로자노  Bodegas Lozano,스페인(Spain) / 라 만차(La Mancha),베르데호 (Verdejo) 100%,Spanish Verdejo,12 %,8~10 ℃,"닭고기 샐러드, 문어요리, 생선 회 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,시트러스,"닭고기, 샐러드",La Mancha DO(DOP),,,
올드 소울 카버네 소비뇽,Old Soul Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=163178&lq=LIST,오크 릿지 와이너리  Oak Ridge Winery,미국(U.S.A) / 캘리포니아(California) / 샌 호아퀸 카운티(San Joaquin County) / 로다이(Lodi),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Californian Cabernet Sauvignon,13 %,16~18 ℃,구운 소고기 및 돼지고기 요리 등과 잘 어울린다.,나라셀라,1/5,2/5,4/5,4/5,바닐라,소고기,Lodi AVA,"*2019 The Tasting Panel magazine, 90점",,
올드 소울 샤도네이,Old Soul Chardonnay,https://www.wine21.com/13_search/wine_view.html?Idx=163179&lq=LIST,오크 릿지 와이너리  Oak Ridge Winery,미국(U.S.A) / 캘리포니아(California) / 샌 호아퀸 카운티(San Joaquin County) / 로다이(Lodi),샤르도네 (Chardonnay) 100%,Californian Chardonnay,13 %,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",나라셀라,1/5,3/5,3/5,1/5,오크,"바비큐, 수육, 탕수육, 치즈",Lodi AVA,"*2015 San Francisco International Wine Competition Double Gold 98점*2019 The Tasting Panel magazine, 90점",,
올드 소울 올드 바인 진판델,Old Soul Old Vine Zinfandel,https://www.wine21.com/13_search/wine_view.html?Idx=163180&lq=LIST,오크 릿지 와이너리  Oak Ridge Winery,미국(U.S.A) / 캘리포니아(California) / 샌 호아퀸 카운티(San Joaquin County) / 로다이(Lodi),진판델 (Zinfandel) 100%,Californian Zinfandel,13.5 %,16~18 ℃,"양갈비, 양고기, 스테이크, 스튜, 치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",나라셀라,1/5,2/5,5/5,4/5,"체리, 초콜릿","살라미, 견과류, 치즈",Lodi AVA,"*2019 The Tasting Panel magazine, 90점*2020 대한민국 주류대상 신대륙 레드와인 부문 대상",,
OZV 레드 블렌드,OZV Red Blend,https://www.wine21.com/13_search/wine_view.html?Idx=163181&lq=LIST,오크 릿지 와이너리  Oak Ridge Winery,미국(U.S.A) / 캘리포니아(California) / 샌 호아퀸 카운티(San Joaquin County) / 로다이(Lodi),진판델 (Zinfandel) / 카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 시라  (Petite Sirah) / 메를로 (Merlot),Californian Red Blend,13~14 %,16~18 ℃,"스테이크, 로스트비프, 양갈비, 바비큐, 불고기, 양념갈비, 족발, 하몽, 한국음식과 잘 어울린다.",나라셀라,1/5,3/5,4/5,3/5,"블랙베리, 바닐라, 토스트, 오크","바비큐, 양갈비, 하몽",Lodi AVA,*2018 Los Angeles International Wine Competition - Silver*2016 Wine Enthusiast Best Buy,,
OZV 진판델,OZV Zinfandel,https://www.wine21.com/13_search/wine_view.html?Idx=163182&lq=LIST,오크 릿지 와이너리  Oak Ridge Winery,미국(U.S.A) / 캘리포니아(California) / 샌 호아퀸 카운티(San Joaquin County) / 로다이(Lodi),진판델 (Zinfandel) 100%,Californian Zinfandel,13~14 %,16~18 ℃,"바비큐 요리, 스테이크, 그릴요리 등과 잘 어울린다.",나라셀라,1/5,2/5,4/5,3/5,"블랙베리, 배, 오크",바비큐,Lodi AVA,"*2014 빈티지: 2018 California State Fair Double Gold, Best of Class of Region 98점*2016 Wine Enthusiast BEST BUY*2017 San Francisco Chronicle Wine Competition (SFCWC) BEST OF CLASS*2018 Wine Enthusiast Best Buy*2019 The Tasting Panel magazine, 91점",,
