생산지역,설명
아스티Asti,"아스티(Asti)는 이탈리아 북서부 피에몬테에 속하는 와인 산지다. 아스티는 피에몬테에서 스파클링 와인의 최고의 생산지로, 세계에서 가장 인기 있는 달콤한 스파클링 와인 모스카토 다스티(Moscato d'Asti)가 생산된다."
베네토Veneto,"베네토(Veneto)는 이탈리아 북동부의 와인 산지다. 베네토는 언덕 지역으로, 소아베와 발폴리첼라 와인으로 유명하다. 이 지역의 40%가 DOC이며, 크고 유명한 와인 생산자들이 많다. 포도원은 모래, 석회암, 이암으로 구성된다. 코르비나(Corvina), 론디넬라(Rodinella)의 레드 품종과 가르가네가(Garganega), 베스파욜로(Vespaiolo)의 화이트 와인이 생산된다."
피에몬테Piemonte,"피에몬테(Piemonte)는 이탈리아 북서부의 와인 산지다. 피에몬테 와인은 대부분 이 지방 토착 품종으로 만든다. 주요 품종으로 그 유명한 네비올로 이외에도 바르베라(Barbera), 돌체토, 브라케토(Brachetto), 프레이사(Freisa), 그리뇰리노(Grignolino)가 있다."
하월 마운틴Howell Mountain,"하월 마운틴(Howell Mountain)은 미국 캘리포니아주 나파 밸리(Napa Valley)의 AVA(American Viticultural Area)로, 해발 고도가 높은 산지 와인 산지 중 하나이다."
리마리 밸리Limari Valley,"리마리 밸리(Limari Valley)는 칠레의 와인 산지다. 리마리 밸리는 코큄보 지역 내 3대 중요 와인 산지 중 하나로, 포도 재배는 16세기부터 시작되었으나 최근 들어서야 제대로 된 와인이 만들어지기 시작했다. 비 오는 날이 적고 매우 건조해 관개는 필수지만, 거의 대부분 자연적인 방법으로 포도를 기르고 있다."
마이포 밸리Maipo Valley,"마이포 밸리(Maipo Valley)는 칠레 중심부의 와인 산지다. 마이포 밸리(Maipo valley)는 칠레의 카베르네 소비뇽(Cabernet Sauvignon) 생산의 심장부로, 칠레 와인에서 특징적으로 보여 주는 블랙 커런트(Black Currant), 타바코(Tabaco), 그리고 미네랄 노트(Mineral Note)를 보여 준다."
칠레Chile,칠레(Chile)는 16세기 중반 스페인 사람들에 의해 최초로 포도 농장이 들어선 이후 수세기 동안 파이스(Pais) 포도를 이용하여 전통적인 가정용 와인을 만들었다. 칠레가 대표적인 신세계 와인 생산 국가로 불리기 시작한 것은 1980년대 중반부터 와인 산업이 크게 성장하면서부터다.
도우루Douro,도우루(Douro)는 포르투갈 북부의 와인 산지다. 도우루는 포트 와인 거래가 집중된 곳이지만 1970년대 말부터 일반 와인 생산에 노력을 기울여 포트 와인에 사용되는 품종으로 만든 양질의 레드 와인으로 명성을 얻고 있다.
나파 밸리Napa Valley,"나파 밸리(Napa Valley)는 미국 캘리포니아에 속하는 와인 산지다. 이 지역에 처음 거주했던 와포(Wappo) 인디언 부족에게 나파란 '풍요의 땅'을 의미하는 말이었다. 나파 계곡에 처음 포도를 재배한 사람들은 조지 연트(George Yount)와 같은 1840년 경의 초기 탐험가들이었고, 이후 1861년 이 지역에 최초의 상업적인 와인 양조장이 설립, 1889년에 이르러 140개의 와인 양조장이 운영 되기에 이르렀다."
아브루쪼Abruzzo,"아브루쪼(Abruzzo)는 이탈리아 중부 와인 산지다. 아르부쪼 토양은 모래, 점토, 자갈, 석회로 구성되며, 레드, 화이트, 로제 와인을 생산한다."
