생산자,설명
도멘 로랑 라방트로Domaine Roland Lavantureux,"도멘 로랑 라방트로(Domaine Roland Lavantureux)는 와인의 열정이 대대로 전해서 내려오고 있는 가문으로서 농업의 일부인 포도 생산을 조상 분들에 의해 생산되었으며, 현재 오너인 아르노와 다비드의(Arnaud &David Lavantreux)의 조부이신 마린과 제르베 (Marine & Gervais)에 의해 샤블리의 전형적인 132 리터 배럴을 옥세르와 파리에 판매하기 시작하였다."
바롱 퓌엔테Baron-Fuente,바롱-퓌엔테(Baron-Fuente)는 샴페인 지방의 서쪽방향에 위치한 Charly sur Marne(샤를르 쉬르마른느) 마을에 위치하고 있다. 'Baron' 가문에 의해 17세기초 부터 가족들에 의해서만 운영되어져 오고 있는 샴페인 하우스이다.
삐에르 부헤Pierre Bouree,삐에르 부헤(Pierre Bouree)는 1864년부터 쥬브레 샹베르탱을 기반으로 와인을 만들어 온 유서 깊은 생산자이다.
샤또 끌로 도르텅스Chateau Clos d'Hortense,"샤또 클로 도스탕스(ChAteau Clos d’Hortens)는 생때밀리용 그랑 크뤼 산지 내의 쌩크리스토프 데 바르데스(Saint Christophe des Bardes)에 위치하고 있다. 2002년부터 라보부부(Lavau)에 의해 생산되고있으며, 생때밀리용 산지내의< puisseguin, côtes-de-castillon, côtes-de-francs>와인도 생산하고있다."
샤또 드 마르즈Chateau de Marze,"샤또 드 마르즈(Chateau de Marze)는 보르도 산지 내의 갈롱 꼬뮌에 위치하고 있으며 자갈섞인 점토질 토양과 둥근 자갈층, 모래섞인 점토질 성분 토질로 이뤄져 있으며 평균 25년된 묘목을 가지고 메를로, 까베르네프랑을 재배 하고있다."
샤또 라 뚜르 꼬르뜨완Chateau La Tour Cordouan,"샤또 라 뚜르 꼬르뜨완 (Château La Tour Cordouan)은 메독 북쪽에 위치하고 있으며, 자갈층, 점토성- 석회질로 이루어진 10 헥타아르에서 경작을 하고 있다. 총괄 책임자인 Bernard Cruse 와 그의 딸 Vanessa Cruse Duboscq에 의해 정성스럽게 와인을 생산하고 있다."
샤또 메이리에Chateau Meillier,
샤또 오 쁠렁떼Chateau Haut Plantey,샤또 오 쁠렁떼(Chateau Haut Plantey)는 메독 지역의 중심부인 Civrac-En-Medoc에 위치합니다. 자연적인 혜택으로 포도 재배에 매우 잇점이 있습니다. 토양은 전통적으로 자갈이 많습니다. 메독의 전통적인 품종인 까베르네 쇼비뇽과 메를로를 재배합니다. 이 샤또의 포도 재배자는 이 포도원의 특성을 매우 잘 알고 있습니다.그래서 지역의 특징을 그대로 담은 와인을 양조하고 있습니다.
샤또 데 두 리브Chateau des Deux Rives,샤또 데 두 리브(Chateau des Deux Rives)는 앙트르 두 메 지역에 소재한 패밀리 소유의 포도원이다. 14세기에 언덕 꼭대기에 지어져 Dordogne 계곡을 지켜보고 있다. 포도원은 남 또는 남동향으로 많은 일사량을 유지하고 있다.이러한 지정학적 이유로 물빠짐이 뛰어나며 포도를 충분히 익게 해 준다
샤또 두 그랑 뿌끄Chateau du Grand Puch,"샤또 두 그랑 뿌끄(Chateau du Grand Puch)는 현존하는 14세기에 지어진 샤또이며 쌩떼밀리옹과 보르도 사이에 위치한다. 175헥타아르 중 90헥타아르에 포도나무를 재배한다. 포도품종은 메를로, 까베르네 쇼비뇽,까베르네 프랑이며, 대부분 구릉지 점토-석회질 토양으로 되어있다."
