생산자,설명
칸티Canti,"칸티(Canti)를 대변하는 단어는 ‘스타일’, ‘전통’ 그리고 ‘즐거운 인생’이다. 이 브랜드를 만든 지아니 마르티니(Gianni Martini)라는 와인생산자는 하나의 와인 브랜드가 세계 무대에서 이태리 홍보대사 역할을 할 수 있다는 믿음을 갖고 있었다."
케익브레드 셀라Cakebread Cellar,케익브레드 셀러(Cakebread Cellar) 의 역사는 한 남자의 사진 작업에서 시작됐다. 1965년 잭 케익브레드는 아버지가 1920년대에 설립한 차량 정비사업체를 물려 받아 아내와 함께 운영하기 시작했다.
탑 와인메이커스Top Winemakers,탑 와인메이커스(Top Winemakers) 프로젝트는 칠레 건국 200주년을 기념하기 위해 칠레의 10개 생산자가 모여 2007년 Bicentennial 이라는 와인을 만들며 시작됐다. 이 와인은 2011년 칠레와 미국 회담 시 버락 오바마 대통령에게 선물하면서 세간에 알려졌다.
폰세카Fonseca,폰세카(Fonseca)는 1815년에 설립한 유서 깊은 포트 와인 전문 생산자이다. 6세대에 걸쳐 양조 노하우와 양조법이 전해오고 있으며 포도밭 또한 한결 같이 이어져 내려오고 있다.
프리미어 와인 그룹Premier Wine Group,"프리미어 와인 그룹(Premier Wine Group)은 1997년부터 캘리포니아의 와이너리들과 그들의 국제적 판로를 개발하고 넓히기 위해 파트너십을 맺었다. 20개 이상의 와이너리들이 아시아, 아프리카, 카리브해 지역, 캐나다, 유럽 대륙 그리고 라틴 아메리카에 와인들을 판매하고 있다. 수준 높은 와이너리 파트너들과 넓은 국제적 유통망의 조합은 프리미엄 캘리포니아 와인의 국제적인 수요를 만족시켰다."
피치니Piccini,"피치니(Piccini)는 토스카나의 유명 와인생산지 카스텔리나 인 키안티(Castellina in Chianti) 마을에 위치한 가족경영 와이너리. 1882년 설립 당시 7헥타르의 소규모 양조장이었으나 오늘날 토스카나의 주요 생산지 400헥타르에서 키안티, 키안티 클라시코를 중심으로 다양한 토스카나 와인을 생산하고 있다."
아뮤즈 부셰Amuse Bouche,
DFJ 비노스DFJ Vinhos,"DFJ 비노스(DFJ Vinhos SA)는 생산 와인 중 90%를 전 세계로 수출하는 포르투갈 와인 회사로 특히 영국 와인시장에서 큰 비율을 차지하고 있는 유명한 와인회사이다. 와인메이커 호세 네이바 코레이아와 함께 협력하여 설립된 회사로 33개의 브랜드와 77가지의 와인을 양조, 생산한 그의 노력으로 연평균 600만병을 생산하여 수출한다."
샴페인 자크송Champagne Jacquesson,"샴페인 자크송(Champagne Jacquesson)은 1798년 메미 자크송(Memmie Jacquesson)에 의해 설립된 메종으로, 크룩 (Krug)의 설립자인 요한 조셉 크룩이 독립적으로 샴페인 하우스를 설립하기 전 와인 메이킹을 배운 메종으로도 유명하다."
샤또 드 트레시Chateau de Tracy,
샤토 뒤 로Chateau du Lort,
샤토 몽라베르Chateau Montlabert,
샤또 로쉐이론Chateau Rocheyron,
실버고스트Silver Ghost,
매티스 와이너리Mathis Winery,
훕스Hoopes Vineyard,훕스(Hoopes)는 여성 오너 린제이 후프스(Lindsay Hoopes)의 비젼을 구현한다. 여성 와인메이커 앤 보우터(Ann Vawter)는 차세대 나파 여성 스타 와인메이커로 주목 받고 있다.
잉글눅Inglenook,
샤또 레 마레쇼Chateau les Marechaux,샤또 레 마레쇼(Chateau les Marechaux)는 철저하고 유연한 양조방식을 통한 높은 품질로 프랑스 현지와 국제적으로 많은 이슈와 찬사를 받고 있는 보르도의 떠오르는 와이너리다.
뵈브 암발Veuve Ambal,뵈브 암발(Veuve Ambal)은 부르고뉴의 크레망 스페셜리스트로 명성 높다. 1898년 설립 이래로 오로지 가족 경영으로 6대째 그 명맥을 이어오고 있는 뵈브 암발은 부르고뉴 본 지역을 중심으로 120여년간 스파클링 와인을 생산해왔다.
